,brand,cpu_GHZ,cpu_benchmark,cpu_brand,cpu_type_name,detachable_keyboard,discrete_gpu,gpu,gpu_benchmark,gpu_brand,gpu_type,max_price,min_price,pixels_x,ram,screen_size,screen_surface,ssd,touchscreen,weight
57,LENOVO,1.1,2645.0,INTEL,CELERON,0.0,0,INTEL UHD 600,345.0,,,255.0,255.0,1366.0,4,15.6,,0,0,4.85
58,HP,2.0,2076.0,AMD,A6,0.0,0,AMD RADEON R4,346.0,,,465.0,465.0,1366.0,4,15.6,,0,0,4.74
59,ASUS,0.9,1862.0,INTEL,CORE M3,0.0,0,INTEL HD 515,688.0,,,599.9,509.97,1920.0,4,12.5,,64,1,2.65
60,HP,1.1,2801.0,INTEL,PENTIUM,0.0,0,INTEL UHD 605,355.0,,,407.98,379.0,1366.0,8,15.6,,0,1,4.3
61,HP,2.5,3522.0,INTEL,CORE I5,0.0,0,INTEL HD 620,888.0,,,475.0,440.0,1366.0,8,14.0,,0,0,3.63
62,OTHER,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2070,11018.0,,,1799.0,1679.0,1920.0,32,15.6,,500,0,4.6
63,ACER,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1070,10472.0,,,1529.0,1529.0,1920.0,16,17.3,,256,0,8.82
64,HP,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,,,142.84,140.89,1366.0,4,11.6,,16,0,2.51
65,APPLE,1.2,2644.0,INTEL,CORE M3,0.0,0,INTEL HD 615,799.0,,,899.99,799.99,2304.0,8,12.0,,256,0,2.03
66,DELL,2.2,2546.0,INTEL,CORE I5,0.0,0,INTEL HD 4400,530.0,,,588.0,588.0,1920.0,8,15.6,,0,1,5.3
67,DELL,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,,,379.0,378.99,1366.0,4,15.6,,0,0,5.07
68,LENOVO,2.5,3522.0,INTEL,CORE I5,0.0,0,INTEL HD 620,888.0,,,540.0,499.99,1920.0,8,15.6,,256,1,4.45
69,DELL,1.6,6372.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,,,642.0,623.0,1920.0,8,13.3,,256,1,3.56
70,DELL,1.8,6134.0,INTEL,CORE I7,0.0,0,INTEL UHD 620,888.0,,,748.0,733.0,1920.0,12,15.6,,0,1,4.85
71,DELL,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050 TI,5612.0,,,1099.0,1065.0,1920.0,16,15.6,,256,0,5.57
72,MSI,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2080 MAX-Q,2369.3205128205127,,,2799.0,2399.0,1920.0,16,15.6,,256,0,4.19
73,DELL,1.8,6134.0,INTEL,CORE I7,0.0,0,INTEL UHD 620,888.0,,,850.0,750.0,1920.0,16,13.3,,256,1,3.72
74,HP,2.4,2806.0,INTEL,CORE I3,0.0,0,INTEL HD 620,888.0,,,339.0,328.0,1366.0,8,14.0,,128,0,3.15
75,ASUS,2.7,3500.0,INTEL,CORE I7,0.0,0,INTEL HD 620,888.0,,,1968.88,1968.88,1920.0,16,12.5,,512,0,2.1
76,ALIENWARE,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1060,6406.0,,,1699.0,1699.0,1920.0,8,17.3,,256,0,9.74
77,LENOVO,2.2,3676.0,INTEL,CORE I3,0.0,0,INTEL UHD 620,888.0,,,399.0,373.91,1366.0,8,15.6,,0,0,4.85
78,DELL,2.7,3500.0,INTEL,CORE I7,0.0,0,INTEL HD 620,888.0,,,1799.33,1799.33,3200.0,16,13.3,,512,1,2.7
79,ACER,1.6,1294.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,,,249.0,248.46,1920.0,4,14.0,,16,0,3.42
80,DELL,2.0,2151.0,INTEL,CORE I3,0.0,0,INTEL HD 5500,568.0,,,399.99,399.99,1366.0,6,15.6,,0,0,4.85
81,HP,1.8,2352.0,INTEL,CORE I5,0.0,0,INTEL HD 4000,329.0,,,229.98,204.99,1366.0,8,14.0,,180,0,3.6
82,ASUS,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2060,11844.0,,,2499.97,2489.94,3840.0,16,15.6,,1000,1,5.51
83,APPLE,2.3,13917.0,INTEL,CORE I9,0.0,1,AMD RADEON PRO 5500M,7017.0,,,2652.49,2568.92,3072.0,16,16.0,,1000,0,4.3
84,LENOVO,2.8,7069.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1060,6406.0,,,1099.99,1099.99,1920.0,8,15.6,,256,0,7.05
85,MSI,2.5,5260.0,INTEL,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1050,3909.0,,,899.0,898.99,1920.0,8,15.6,,256,0,5.29
86,ASUS,2.7,2741.0,AMD,A12,0.0,0,AMD RADEON R7,551.0,,,388.02,355.0,1920.0,8,15.6,,256,0,3.7
87,MSI,2.3,7584.0,INTEL,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1050,3909.0,,,699.0,683.99,1920.0,8,15.6,,256,0,5.07
88,LENOVO,1.44,1395.0,INTEL,ATOM,0.0,0,INTEL HD 400,329.0,,,599.99,599.99,1920.0,4,10.1,,64,1,1.52
89,HP,2.0,6317.0,AMD,RYZEN 5,0.0,0,AMD RADEON VEGA 8,1406.0,,,749.0,749.0,1920.0,8,15.6,,128,1,4.49
90,DELL,1.6,6068.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,,,849.99,849.99,1920.0,16,15.6,,256,0,4.37
91,MICROSOFT,2.5,3522.0,INTEL,CORE I5,0.0,0,INTEL HD 620,888.0,,,553.0,540.0,2256.0,4,13.5,,128,1,2.76
92,HP,1.1,2801.0,INTEL,PENTIUM,0.0,0,INTEL UHD 605,355.0,,,249.28,242.99,1366.0,4,15.6,,0,1,4.49
93,LENOVO,1.6,6068.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,,,819.95,768.99,1366.0,16,15.6,,512,0,4.68
94,DELL,2.8,7069.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050,3909.0,,,1379.99,1379.99,1920.0,16,15.6,,512,0,5.7
95,HP,1.6,6372.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,,,499.0,499.0,1366.0,8,15.6,,128,1,3.9
96,HP,1.8,6134.0,INTEL,CORE I7,0.0,0,INTEL UHD 620,888.0,,,1249.95,1117.55,1920.0,16,13.3,,512,1,2.78
97,HP,2.6,861.0,INTEL,CORE I5,0.0,0,INTEL HD 4000,329.0,,,218.0,209.96,1366.0,8,14.0,,0,0,4.95
98,LENOVO,2.4,8167.0,INTEL,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1650,6318.0,,,729.97,723.98,1920.0,8,15.6,,512,0,4.83
99,DELL,2.4,2806.0,INTEL,CORE I3,0.0,0,INTEL HD 620,888.0,,,427.99,427.99,1366.0,6,15.6,,0,1,5.18
100,LENOVO,1.8,1888.0,AMD,A6,0.0,0,AMD RADEONÂ R4,2369.3205128205127,,,258.0,258.0,1366.0,4,15.6,,0,0,4.73
101,HP,1.1,1123.0,INTEL,CELERON,0.0,0,INTEL HD 500,317.0,,,237.0,237.0,1366.0,4,14.0,,32,1,3.4
102,ALIENWARE,2.6,6661.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1060,6406.0,,,1399.99,1399.99,1920.0,16,15.6,,128,0,8.0
103,DELL,2.8,7069.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050,3909.0,,,1299.0,1299.0,1920.0,12,15.6,,128,0,5.66
104,DELL,2.5,5260.0,INTEL,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1050,3909.0,,,649.0,629.0,1920.0,8,15.6,,0,0,5.64
105,MICROSOFT,1.7,6987.0,INTEL,CORE I5,1.0,0,INTEL UHD 620,888.0,,,1130.0,1090.0,3000.0,8,13.5,,256,1,3.38
106,OTHER,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2060,11844.0,,,1399.0,1399.0,1920.0,16,15.6,,500,0,5.0
107,ASUS,1.8,6777.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050 MAX-Q,2369.3205128205127,,,1498.97,1382.99,1920.0,16,15.6,,512,0,3.72
108,DELL,2.059183955739968,5001.046153846154,INTEL,CORE I5,0.0,0,INTEL HD 5500,568.0,,,689.99,639.99,1366.0,8,15.6,,0,1,5.7
109,HP,2.16,618.0,INTEL,CELERON,0.0,0,INTEL HD,10.0,,,249.99,249.99,1366.0,4,14.0,,16,0,3.78
110,HUAWEI,1.8,6134.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE MX150,2387.0,,,1399.0,1299.99,3000.0,16,13.9,,512,1,2.93
111,ACER,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1060,6406.0,,,969.99,949.99,1920.0,16,15.6,,256,0,5.95
112,ASUS,2.7,2741.0,AMD,A12,0.0,0,AMD RADEON R7,551.0,,,469.0,407.0,1920.0,16,15.6,,256,0,3.7
113,MICROSOFT,2.4,3368.0,INTEL,CORE I5,1.0,1,NVIDIA GEFORCE,2.0,,,679.8,599.0,3000.0,8,13.5,,256,1,3.48
114,DELL,2.6,6661.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 960M,3467.0,,,999.0,999.0,1920.0,16,15.6,,0,0,5.68
115,DELL,1.7,2343.0,INTEL,CORE I5,0.0,0,INTEL HD 4400,530.0,,,559.99,559.99,1366.0,8,15.6,,0,0,6.0
116,HP,1.1,1278.0,INTEL,CELERON,0.0,0,INTEL UHD 600,345.0,,,174.0,161.99,1366.0,4,11.6,,32,0,2.57
117,OTHER,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2060,11844.0,,,1349.0,1339.0,1920.0,16,15.6,,250,0,5.0
118,HP,1.8,6777.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE MX250,2660.0,,,1140.32,1079.99,3840.0,16,13.3,,512,1,2.82
119,HP,1.0,7773.0,INTEL,CORE I5,0.0,0,INTEL UHD,345.0,,,579.0,579.0,1366.0,8,15.6,,512,1,3.75
120,HP,2.4,2806.0,INTEL,CORE I3,0.0,0,INTEL HD 620,888.0,,,538.99,421.0,1366.0,8,15.6,,0,1,4.6
121,HP,2.7,3500.0,INTEL,CORE I7,0.0,0,INTEL HD 620,888.0,,,855.0,850.0,1600.0,8,17.3,,0,0,5.84
122,HP,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2080,14482.0,,,1799.99,1799.99,1920.0,16,17.3,,256,0,6.54
123,DELL,2.3,2989.0,INTEL,CORE I5,0.0,0,INTEL HD,10.0,,,699.99,699.99,1920.0,8,13.3,,256,1,3.66
124,ASUS,1.1,1123.0,INTEL,CELERON,0.0,0,INTEL HD 500,317.0,,,215.0,199.0,1366.0,4,14.0,,32,0,2.7
125,DELL,2.5,2275.0,INTEL,CORE I5,0.0,0,INTEL HD 3000,95.0,,,178.89,154.99,1366.0,4,14.0,,0,0,4.6
126,DELL,1.8,6134.0,INTEL,CORE I7,0.0,0,INTEL UHD 620,888.0,,,1660.0,1499.99,3840.0,16,13.3,,512,1,2.87
127,ACER,1.1,1123.0,INTEL,CELERON,0.0,0,INTEL HD 500,317.0,,,299.99,259.0,1920.0,4,15.6,,32,1,3.97
128,DELL,1.6,1422.0,INTEL,PENTIUM,0.0,0,INTEL HD 405,2369.3205128205127,,,389.0,365.0,1366.0,4,11.6,,0,1,3.09
129,APPLE,1.6,3296.0,INTEL,CORE I5,0.0,0,INTEL UHD 617,878.0,,,799.99,749.66,2560.0,8,13.3,,128,0,2.75
130,ASUS,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050 TI,5612.0,,,1249.0,1249.0,1920.0,16,17.3,,128,0,6.72
131,ALIENWARE,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1060,6406.0,,,1382.0,1382.0,1920.0,8,17.3,,0,0,9.74
132,ASUS,1.1,2995.0,INTEL,CORE M3,0.0,0,INTEL UHD 615,835.0,,,608.51,548.98,1920.0,8,14.0,,64,1,3.19
133,DELL,1.6,6372.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,,,599.99,599.99,1920.0,8,13.3,,256,1,3.59
134,HP,2.5,1032.0,AMD,A6,0.0,0,AMD RADEON R4,346.0,,,449.01,379.99,1366.0,4,15.6,,0,0,4.52
135,ASUS,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2070,11018.0,,,1999.99,1849.99,1920.0,16,15.6,,0,0,5.66
136,DELL,2.6,6661.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 960M,3467.0,,,1189.99,1189.99,3840.0,16,15.6,,128,1,6.0
137,DELL,2.5,3369.0,INTEL,CORE I7,0.0,0,INTEL HD 5500,568.0,,,999.99,999.99,3200.0,8,13.3,,256,1,2.8
138,LENOVO,1.6,6372.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,,,649.0,595.0,1920.0,8,15.6,,256,0,4.85
139,HP,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,,,123.0,120.94,1366.0,4,11.6,,16,0,2.54
140,MICROSOFT,2.6,3780.0,INTEL,CORE I5,0.0,0,INTEL HD 620,888.0,,,599.0,599.0,2736.0,8,12.3,,256,1,1.7
141,HP,2.6,1274.0,AMD,A6,0.0,0,AMD RADEON R4,346.0,,,388.56,379.99,1366.0,4,15.6,,0,0,4.61
142,OTHER,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE RTX 2070,11018.0,,,1699.0,1599.0,1920.0,16,15.6,,500,0,4.6
143,LENOVO,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,,,380.0,380.0,1366.0,4,14.0,,16,0,3.3
144,ACER,2.3,7584.0,INTEL,CORE I5,0.0,1,NVIDIA GEFORCE GTX 1050 TI,5612.0,,,674.9,674.7,1920.0,8,15.6,,256,0,5.95
145,ASUS,1.8,6134.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE MX150,2387.0,,,929.0,929.0,1920.0,8,15.6,,256,0,3.3
146,HP,2.7,3500.0,INTEL,CORE I7,0.0,0,INTEL HD 620,888.0,,,799.0,799.0,1366.0,16,15.6,,0,0,4.83
147,ASUS,1.6,6372.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,,,659.0,659.0,1920.0,8,15.6,,256,0,3.5
148,ACER,2.0,6317.0,AMD,RYZEN 5,0.0,0,AMD RADEON VEGA 8,1406.0,,,625.0,480.98,1920.0,8,15.6,,256,0,4.85
149,HP,2.4,2806.0,INTEL,CORE I3,0.0,0,INTEL HD 620,888.0,,,475.99,459.95,1600.0,8,17.3,,0,0,5.29
150,ACER,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD,10.0,,,214.77,185.83,1920.0,4,14.0,,32,0,3.42
151,LENOVO,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050,3909.0,,,983.0,949.99,1920.0,8,15.6,,256,0,4.83
152,ASUS,2.5,3522.0,INTEL,CORE I5,0.0,0,INTEL HD 620,888.0,,,589.0,568.35,1920.0,12,15.6,,0,1,5.07
153,OTHER,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1660 TI,8738.0,,,1199.0,1149.0,1920.0,16,15.6,,500,0,4.85
154,SAMSUNG,2.5,3522.0,INTEL,CORE I5,1.0,0,INTEL HD 620,888.0,,,999.99,999.99,2160.0,8,12.0,,256,1,1.66
155,DELL,1.6,6372.0,INTEL,CORE I5,0.0,0,INTEL UHD 620,888.0,,,665.0,559.0,1920.0,8,15.6,,0,1,4.85
156,LENOVO,1.9,6620.0,INTEL,CORE I7,0.0,0,INTEL UHD 620,888.0,,,1645.69,1543.99,2560.0,16,14.0,,512,0,2.49
157,MICROSOFT,1.3,8923.0,INTEL,CORE I7,1.0,0,INTEL IRIS PLUS,1377.0,,,1818.97,1629.99,2736.0,16,12.3,,512,1,1.74
158,LENOVO,2.6,861.0,INTEL,CORE I5,0.0,0,INTEL HD 4000,329.0,,,238.0,186.08,1600.0,8,14.0,,128,0,4.92
159,MSI,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050 TI,5612.0,,,829.98,829.98,1920.0,8,17.3,,256,0,4.85
160,ACER,1.6,1294.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,,,149.99,149.99,1920.0,4,14.0,,32,0,3.42
161,APPLE,2.5,5904.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GT 750M,1232.0,,,928.9,899.99,2880.0,16,15.4,,512,0,4.46
162,ACER,2.6,11636.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1660 TI,8738.0,,,1099.99,1094.0,1920.0,16,15.6,,256,0,5.51
163,DELL,2.5,3522.0,INTEL,CORE I5,0.0,0,INTEL HD 620,888.0,,,537.97,537.0,1366.0,8,15.6,,0,1,5.07
164,HP,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,,,243.95,243.9,1366.0,4,14.0,,32,0,3.18
165,DELL,2.2,10418.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050 TI,5612.0,,,1558.0,1510.0,1920.0,16,15.6,,512,0,4.0
166,LENOVO,1.8,6134.0,INTEL,CORE I7,0.0,0,INTEL UHD 620,888.0,,,1418.97,1418.97,3840.0,16,13.9,,512,1,3.02
167,ASUS,2.3,2989.0,INTEL,CORE I5,0.0,0,INTEL HD,10.0,,,1499.11,1499.11,1920.0,8,13.3,,256,0,2.86
168,ASUS,1.1,1123.0,INTEL,CELERON,0.0,0,INTEL HD 500,317.0,,,178.4,161.99,1366.0,4,11.6,,32,0,2.2
169,SAMSUNG,1.6,759.0,INTEL,CELERON,0.0,0,INTEL HD 400,329.0,,,165.9,150.19,1366.0,4,11.6,,32,0,2.54
170,ACER,2.8,7069.0,INTEL,CORE I7,0.0,1,NVIDIA GEFORCE GTX 1050 TI,5612.0,,,1199.99,1199.99,1920.0,16,15.6,,256,0,5.51
