,id,name,brand,base_name,screen_size,pixels_x,pixels_y,screen_surface,touchscreen,cpu,cpu_details,detachable_keyboard,discrete_gpu,gpu,os,os_details,ram,ssd,storage,weight,min_price,max_price,cpu_brand,cpu_type_name,gpu_brand,gpu_type,os_details_2,cpu_details_2,cpu_GHZ,cpu_benchmark,gpu_benchmark,cpu_core,threading,pc_name
10,23820,"2018 NEWEST ACER CB3-532 15.6"" HD CHROMEBOOK WITH 3X FASTER WIFI, INTEL DUAL-CORE CELERON N3060 UP TO 2.48GHZ, 2GB RAM, 16GB SSD, HDMI, USB 3.0, WEBCAM, 12-HOURS BATTERY, CHROME OS",ACER,ACER CB3-532,15.6,1366,768,MATTE,0,INTEL CELERON,INTEL CELERON N3060 1.6 GHZ (BRASWELL DUAL-CORE),0.0,0,INTEL HD 400,CHROME OS,CHROME OS,2,16,16,4.3,174.98,185.0,INTEL,CELERON,INTEL,HD 400,CHROME OS,N3060,1.6,759.0,329.0,DUAL-CORE,0.0,ACER
11,19839,"NEWEST HP 14-INCH CHROMEBOOK HD SVA (1366 X 768) DISPLAY, INTEL DUAL CORE CELERON N2840 2.16GHZ, 4GB DD3L RAM, 16GB EMMC HARD DRIVE, BLUETOOTH, HDMI, STEREO SPEAKERS, HD WEBCAM, GOOGLE CHROME OS",HP,HP CHROMEBOOK 14,14.0,1366,768,GLOSSY,0,INTEL CELERON,INTEL CELERON N2840 2.16 GHZ (BAY TRAIL DUAL-CORE),0.0,0,INTEL HD,CHROME OS,CHROME OS,4,16,16,3.7,236.87,236.88,INTEL,CELERON,INTEL,HD,CHROME OS,N2840,2.16,618.0,10.0,DUAL-CORE,0.0,HP CHROMEBOOK
12,22978,"2018 NEWEST PREMIUM DELL INSPIRON 15.6-INCH HD DISPLAY LAPTOP PC, 7TH GEN AMD A6-9220 2.5GHZ PROCESSOR, 4GB DDR4, 500GB HDD, WIFI, HDMI, WEBCAM, MAXXAUDIO, BLUETOOTH, DVD-RW, WINDOWS 10-BLACK",DELL,DELL INSPIRON 15 3000,15.6,1366,768,NAN,0,AMD A6,AMD A6-9220 2.5 GHZ (7TH GEN STONEY RIDGE DUAL-CORE),0.0,0,AMD RADEON R4,WINDOWS,WINDOWS 10 HOME,4,0,500,5.07,288.98,288.99,AMD,A6,AMD,RADEON R4,10 HOME,9220,2.5,1032.0,346.0,DUAL-CORE,0.0,DELL INSPIRON
13,28331,"NEWEST HP 14-INCH CHROMEBOOK HD TOUCHSCREEN LAPTOP PC (INTEL CELERON N3350 UP TO 2.4GHZ, 4GB RAM, 32GB FLASH MEMORY, WIFI, HD CAMERA, BLUETOOTH, UP TO 10 HRS BATTERY LIFE, CHROME OS , BLACK )",HP,HP CHROMEBOOK,14.0,1366,768,GLOSSY,1,INTEL CELERON,INTEL CELERON N3350 1.1 GHZ (APOLLO LAKE DUAL-CORE),0.0,0,INTEL HD 500,CHROME OS,CHROME OS,4,32,32,3.4,289.99,289.99,INTEL,CELERON,INTEL,HD 500,CHROME OS,N3350,1.1,1123.0,317.0,DUAL-CORE,0.0,HP CHROMEBOOK
14,25265,"DELL 2018 NEWEST LIGHTWEIGHT INSPIRON 11.6"" TOUCHSCREEN 2 IN 1 LAPTOP PC AMD A6-9220E PROCESSOR 4GB DDR4 RAM 32GB EMMC SSD HARD DRIVE RADEON R4 GRAPHICS WIFI WEBCAM BLUETOOTH 3.2 LBS WINDOWS 10 (RED)",DELL,DELL INSPIRON 3185,11.6,1366,768,GLOSSY,1,AMD A6,AMD A6-9220E 1.6 GHZ (7TH GEN STONEY RIDGE DUAL-CORE),0.0,0,AMD RADEON R4,WINDOWS,WINDOWS 10 HOME,4,32,32,3.41,288.0,288.0,AMD,A6,AMD,RADEON R4,10 HOME,9220E,1.6,1032.0,346.0,DUAL-CORE,0.0,DELL INSPIRON
15,4081,"DELL INSPIRON I5547-3753SLV 15.6-INCH LAPTOP (1.7 GHZ INTEL CORE I5-4210U PROCESSOR, 6GB DDR3, 1TB HDD, WINDOWS 8.1) SILVER",DELL,DELL INSPIRON I5547-3753SLV,15.6,1366,768,GLOSSY,0,INTEL CORE I5,INTEL CORE I5-4210U 1.7 GHZ (4TH GEN HASWELL DUAL-CORE WITH HYPER-THREADING),0.0,0,INTEL HD 4400,WINDOWS,WINDOWS 8.1,6,0,1024,6.0,399.9,399.9,INTEL,CORE I5,INTEL,HD 4400,8.1,4210U,1.7,2343.0,530.0,DUAL-CORE,1.0,DELL INSPIRON
16,28803,"MSI GL63 8SC-059 15.6"" GAMING LAPTOP, INTEL CORE I7-8750H, NVIDIA GEFORCE GTX1650, 8GB, 256GB NVME SSD, WIN10",MSI,MSI GL63 8SC,15.6,1920,1080,MATTE,0,INTEL CORE I7,INTEL CORE I7-8750H 2.2 GHZ (8TH GEN COFFEE LAKE HEXA-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE GTX 1650,WINDOWS,WINDOWS 10 HOME,8,256,256,5.07,839.0,896.48,INTEL,CORE I7,NVIDIA,GEFORCE GTX 1650,10 HOME,8750H,2.2,10418.0,7868.0,HEXA-CORE,1.0,MSI
17,26957,"ASUS VIVOBOOK S15 SLIM AND PORTABLE LAPTOP, 15.6Â€ FULL HD NANOEDGE BEZEL, INTEL CORE I5-8265U PROCESSOR, 8GB DDR4, 256GB SSD, WINDOWS 10 - S530FA-DB51, GUN METAL WITH LIGHT GREY TRIM",ASUS,ASUS VIVOBOOK S530FA,15.6,1920,1080,MATTE,0,INTEL CORE I5,INTEL CORE I5-8265U 1.6 GHZ (8TH GEN WHISKEY LAKE QUAD-CORE WITH HYPER-THREADING),0.0,0,INTEL UHD 620,WINDOWS,WINDOWS 10 HOME,8,256,256,3.97,579.0,579.99,INTEL,CORE I5,INTEL,UHD 620,10 HOME,8265U,1.6,6068.0,888.0,QUAD-CORE,1.0,ASUS VIVOBOOK
18,20514,"ASUS GAMING LAPTOP, 17.3Â€ FULL HD WIDEVIEW DISPLAY, INTEL CORE I7-7700HQ PROCESSOR, NVIDIA GTX 1050 TI 4GB, 8GB DDR4 RAM, 1TB HDD, BACKLIT KBD, USB 3.1 TYPE C, WINDOWS 10 HOME, FX73VE-WH71",ASUS,ASUS FX73VE,17.3,1920,1080,MATTE,0,INTEL CORE I7,INTEL CORE I7-7700HQ 2.8 GHZ (7TH GEN KABY LAKE QUAD-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE GTX 1050 TI,WINDOWS,WINDOWS 10 HOME,8,0,1000,6.6,1539.0,1539.0,INTEL,CORE I7,NVIDIA,GEFORCE GTX 1050 TI,10 HOME,7700HQ,2.8,7069.0,6657.0,QUAD-CORE,1.0,ASUS
19,21890,"ASUS ROG ZEPHYRUS M ULTRA SLIM GAMING LAPTOP, 15.6Â€ FULL HD 144HZ IPS-TYPE G-SYNC, GEFORCE GTX 1070, INTEL CORE I7-8750H PROCESSOR, 16GB DDR4, 256GB PCIE SSD + 1TB FIRECUDA, WINDOWS 10 - GM501GS-XS74",ASUS,ASUS ROG ZEPHYRUS M GM501,15.6,1920,1080,MATTE,0,INTEL CORE I7,INTEL CORE I7-8750H 2.2 GHZ (8TH GEN COFFEE LAKE HEXA-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE GTX 1070,WINDOWS,WINDOWS 10 PRO,16,256,1256,5.4,1639.0,1649.0,INTEL,CORE I7,NVIDIA,GEFORCE GTX 1070,10 PRO,8750H,2.2,10418.0,13557.0,HEXA-CORE,1.0,ASUS ROG ZEPHYRUS M
20,22558,"DELL INSPIRON 15 7567 LAPTOP: CORE I5-7300HQ, 256GB SSD, 8GB RAM, GTX 1050TI, 15.6INCH FULL HD DISPLAY",DELL,DELL INSPIRON 7567,15.6,1920,1080,MATTE,0,INTEL CORE I5,INTEL CORE I5-7300HQ 2.5 GHZ (7TH GEN KABY LAKE QUAD-CORE),0.0,1,NVIDIA GEFORCE GTX 1050 TI,WINDOWS,WINDOWS 10 HOME,8,256,256,6.61,760.0,763.2,INTEL,CORE I5,NVIDIA,GEFORCE GTX 1050 TI,10 HOME,7300HQ,2.5,5260.0,6657.0,QUAD-CORE,0.0,DELL INSPIRON
21,28046,"ACER SPIN 3 CONVERTIBLE LAPTOP, 14 INCHES FULL HD IPS TOUCH, 8TH GEN INTEL CORE I7-8565U, 16GB DDR4, 512GB PCIE NVME SSD, BACKLIT KB, FINGERPRINT READER, RECHARGEABLE ACTIVE STYLUS, SP314-53N-77AJ",ACER,ACER SPIN 3 SP314-53N,14.0,1920,1080,GLOSSY,1,INTEL CORE I7,INTEL CORE I7-8565U 1.8 GHZ (8TH GEN WHISKEY LAKE QUAD-CORE WITH HYPER-THREADING),0.0,0,INTEL UHD 620,WINDOWS,WINDOWS 10 HOME,16,512,512,3.75,719.0,719.0,INTEL,CORE I7,INTEL,UHD 620,10 HOME,8565U,1.8,6777.0,888.0,QUAD-CORE,1.0,ACER SPIN
22,30991,"MSI GF63 THIN 9SC-066 15.6"" GAMING LAPTOP, THIN BEZEL, INTEL CORE I7-9750H, NVIDIA GEFORCE GTX1650, 16GB, 512GB NVME SSD",MSI,MSI GF63 THIN 9SC,15.6,1920,1080,MATTE,0,INTEL CORE I7,INTEL CORE I7-9750H 2.6 GHZ (9TH GEN COFFEE LAKE HEXA-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE GTX 1650,WINDOWS,WINDOWS 10 HOME,16,512,512,4.1,888.95,949.0,INTEL,CORE I7,NVIDIA,GEFORCE GTX 1650,10 HOME,9750H,2.6,11636.0,7868.0,HEXA-CORE,1.0,MSI
23,19855,"APPLE MACBOOK AIR MJVM2LL/A 11.6-INCH LAPTOP(1.6 GHZ INTEL I5, 128 GB SSD, INTEGRATED INTEL HD GRAPHICS 6000, MAC OS X YOSEMITE (RENEWED)",APPLE,APPLE MACBOOK AIR MJVM2LL/A,11.6,1366,768,GLOSSY,0,INTEL CORE I5,INTEL CORE I5-5250U 1.6 GHZ (5TH GEN BROADWELL DUAL-CORE WITH HYPER-THREADING),NAN,0,INTEL HD 6000,MACOS,OS X YOSEMITE,4,128,128,2.38,380.44,405.82,INTEL,CORE I5,INTEL,HD 6000,YOSEMITE,5250U,1.6,2142.0,829.0,DUAL-CORE,1.0,APPLE MACBOOK AIR
24,23205,"DELL I5575-A347SLV-PUS INSPIRON 5000 SERIES AMD RYZEN 5-1080P 16GB MEMORY 15.6"" 1 TB HDD TOUCHSCREEN LAPTOP",DELL,DELL INSPIRON 5575,15.6,1920,1080,GLOSSY,1,AMD RYZEN 5,AMD RYZEN 5 2500U 2.0 GHZ (QUAD-CORE WITH SIMULTANEOUS MULTI-THREADING),0.0,0,AMD RADEON VEGA 8,WINDOWS,WINDOWS 10 HOME,16,0,1000,4.89,565.0,565.0,AMD,RYZEN 5,AMD,RADEON VEGA 8,10 HOME,2500U,2.0,6317.0,1509.0,QUAD-CORE,1.0,DELL INSPIRON
25,28643,"ROG STRIX SCAR II GAMING LAPTOP, 17.3Â€ 144HZ 3MS IPS TYPE, INTEL CORE I7-8750H PROCESSOR, NVIDIA GEFORCE GTX 1060 6GB GDDR5, 16GB DDR4, 256GB PCIE SSD + 1TB HDD, RGB, WINDOWS 10 HOME - GL704GM-DH74",ASUS,ASUS ROG STRIX SCAR II GL704GM,17.3,1920,1080,MATTE,0,INTEL CORE I7,INTEL CORE I7-8750H 2.2 GHZ (8TH GEN COFFEE LAKE HEXA-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE GTX 1060,WINDOWS,WINDOWS 10 HOME,16,256,1256,6.39,1588.0,1599.0,INTEL,CORE I7,NVIDIA,GEFORCE GTX 1060,10 HOME,8750H,2.2,10418.0,10210.0,HEXA-CORE,1.0,ASUS ROG STRIX SCAR II
26,6768,HP 15-F215DX 15.6-INCH LAPTOP PC - AMD QUAD-CORE A8 / 4GB MEMORY / 750GB HD / DVDÂ±RW/CD-RW / HD WEBCAM / WINDOWS 8.1 64-BIT (BLACK),HP,HP 15-F215DX,15.6,1366,768,GLOSSY,0,AMD A8,AMD A8-6410 2.0 GHZ (PUMA QUAD-CORE),0.0,0,AMD RADEON R5,WINDOWS,WINDOWS 8.1,4,0,750,4.8,449.99,449.99,AMD,A8,AMD,RADEON R5,8.1,6410,2.0,2341.0,148.0,QUAD-CORE,0.0,HP
27,8285,"DELL INSPIRON I7559-2512BLK 15.6 INCH FHD LAPTOP (6TH GENERATION INTEL CORE I7, 8 GB RAM, 1 TB HDD + 8 GB SSD) NVIDIA GAMING GEFORCE GTX 960M",DELL,DELL INSPIRON I7559-2512,15.6,1920,1080,MATTE,0,INTEL CORE I7,INTEL CORE I7-6700HQ 2.6 GHZ (6TH GEN SKYLAKE QUAD-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE GTX 960M,WINDOWS,WINDOWS 10,8,8,1008,5.67,809.99,809.99,INTEL,CORE I7,NVIDIA,GEFORCE GTX 960M,10,6700HQ,2.6,6661.0,3467.0,QUAD-CORE,1.0,DELL INSPIRON
28,10358,"DELL I3552-3240BLK 15.6"" HD LAPTOP (INTEL PENTIUM N3700 1.6GHZ PROCESSOR, 4 GB DDR3L SDRAM, 500 GB HDD, WINDOWS 10) BLACK",DELL,DELL INSPIRON I3552,15.6,1366,768,GLOSSY,0,INTEL PENTIUM,INTEL PENTIUM N3700 1.6 GHZ (BRASWELL QUAD-CORE),0.0,0,INTEL HD,WINDOWS,WINDOWS 10,4,0,500,4.85,399.99,399.99,INTEL,PENTIUM,INTEL,HD,10,N3700,1.6,1243.0,10.0,QUAD-CORE,0.0,DELL INSPIRON
29,12778,"SAMSUNG NP900X5L-K02US NOTEBOOK 9 15"" LAPTOP (IRON SILVER)",SAMSUNG,SAMSUNG NOTEBOOK 9 NP900X5L-K02US,15.0,1920,1080,MATTE,0,INTEL CORE I7,INTEL CORE I7-6500U 2.5 GHZ (6TH GEN SKYLAKE DUAL-CORE WITH HYPER-THREADING),0.0,0,INTEL HD 520,WINDOWS,WINDOWS 10,8,256,256,2.9,722.0,722.0,INTEL,CORE I7,INTEL,HD 520,10,6500U,2.5,3369.0,864.0,DUAL-CORE,1.0,SAMSUNG NOTEBOOK
30,29632,"CUK OMEN 15T GAMING LAPTOP (INTEL I7-9750H, 64GB RAM, 2TB NVME SSD + 2TB HDD, NVIDIA GEFORCE RTX 2070 8GB MAX-Q, 15.6"" 4K UHD, WINDOWS 10 HOME) GAMERS NOTEBOOK COMPUTER",HP,HP OMEN 15T,15.6,3840,2160,MATTE,0,INTEL CORE I7,INTEL CORE I7-9750H 2.6 GHZ (9TH GEN COFFEE LAKE HEXA-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE RTX 2070,WINDOWS,WINDOWS 10 HOME,64,2000,4000,5.26,2199.99,2199.99,INTEL,CORE I7,NVIDIA,GEFORCE RTX 2070,10 HOME,9750H,2.6,11636.0,16632.0,HEXA-CORE,1.0,HP OMEN
31,12766,SAMSUNG CHROMEBOOK PLUS CONVERTIBLE TOUCH LAPTOP (XE513C24-K01US),SAMSUNG,SAMSUNG CHROMEBOOK PLUS XE513C24-K01US,12.3,2400,1600,GLOSSY,1,OP1,OP1 2.0 GHZ (HEXA-CORE),0.0,0,NAN,CHROME OS,CHROME OS,4,32,32,2.38,559.0,584.97,OP1,,NAN,,CHROME OS,OP1,2.0,,,HEXA-CORE,0.0,SAMSUNG CHROMEBOOK PLUS
32,28224,"NEWEST HP HIGH PERFORMANCE 15.6Â€ HD TOUCH-SCREEN NOTEBOOK COMPUTER WITH INTEL PENTIUM N5000 PROCESSOR, 4GB_RAM, 1TB HARD DRIVE, WEBCAM, WIFI AND BLUETOOTH, HDMI, WINDOWS 10 (BLACK)",HP,HP 15-BS289WM,15.6,1366,768,GLOSSY,1,INTEL PENTIUM,INTEL PENTIUM SILVER N5000 1.1 GHZ (GEMINI LAKE QUAD-CORE),0.0,0,INTEL UHD 605,WINDOWS,WINDOWS 10 HOME,4,0,1000,NAN,325.99,360.0,INTEL,PENTIUM,INTEL,UHD 605,10 HOME,N5000,1.1,2801.0,355.0,QUAD-CORE,0.0,HP
33,23204,"HP 15-INCH LAPTOP, AMD RYZEN 3 2200U PROCESSOR, 8 GB RAM, 1 TB HARD DRIVE, WINDOWS 10 HOME (15-DB0030NR, GRAY)",HP,HP 15-DB0030NR,15.6,1366,768,GLOSSY,1,AMD RYZEN 3,AMD RYZEN 3 2200U 2.5 GHZ (DUAL-CORE WITH SIMULTANEOUS MULTI-THREADING),0.0,0,AMD RADEON VEGA 3,WINDOWS,WINDOWS 10 HOME,8,0,1000,4.6,475.0,551.57,AMD,RYZEN 3,AMD,RADEON VEGA 3,10 HOME,2200U,2.5,4061.0,904.0,DUAL-CORE,1.0,HP
34,26138,"LENOVO BUILT BUSINESS LAPTOP PC 17.3"" HD+ DISPLAY INTEL I5-7200U PROCESSOR 8GB DDR4 RAM 1TB HDD DVD-RW 802.11AC WIFI HDMI BLUETOOTH WEBCAM WINDOWS 10-GRAY",LENOVO,LENOVO IDEAPAD 320,17.3,1600,900,MATTE,0,INTEL CORE I5,INTEL CORE I5-7200U 2.5 GHZ (7TH GEN KABY LAKE DUAL-CORE WITH HYPER-THREADING),0.0,0,INTEL HD 620,WINDOWS,WINDOWS 10 HOME,8,0,1000,6.17,693.0,693.0,INTEL,CORE I5,INTEL,HD 620,10 HOME,7200U,2.5,3522.0,888.0,DUAL-CORE,1.0,LENOVO IDEAPAD
35,20094,"LENOVO IDEAPAD 15.6"" HD HIGH PERFORMANCE LAPTOP, AMD A12-9720P QUAD CORE PROCESSOR 2.7GHZ, 8GB DDR4, 1TB HDD, DVD, WEBCAM, WIFI,BLUETOOTH, WINDOWS 10, PLATINUM GRAY",LENOVO,LENOVO IDEAPAD,15.6,1366,768,MATTE,0,AMD A12,AMD A12-9720P 2.7 GHZ (7TH GEN BRISTOL RIDGE QUAD-CORE),0.0,0,AMD RADEON R7,WINDOWS,WINDOWS 10 HOME,8,0,1000,4.85,424.22,424.22,AMD,A12,AMD,RADEON R7,10 HOME,9720P,2.7,2741.0,551.0,QUAD-CORE,0.0,LENOVO IDEAPAD
36,26778,"ACER PREDATOR TRITON 500 THIN & LIGHT GAMING LAPTOP, INTEL CORE I7-8750H, GEFORCE RTX 2060 WITH 6GB, 15.6"" FULL HD 144HZ 3MS IPS DISPLAY, 16GB DDR4, 512GB PCIE NVME SSD, RGB KEYBOARD, PT515-51-71VV",ACER,ACER PREDATOR TRITON 500 PT515-51,15.6,1920,1080,MATTE,0,INTEL CORE I7,INTEL CORE I7-8750H 2.2 GHZ (8TH GEN COFFEE LAKE HEXA-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE RTX 2060,WINDOWS,WINDOWS 10 HOME,16,512,512,4.41,1637.0,1652.6,INTEL,CORE I7,NVIDIA,GEFORCE RTX 2060,10 HOME,8750H,2.2,10418.0,15156.0,HEXA-CORE,1.0,ACER PREDATOR TRITON
37,17020,"HP SPECTRE X360 15-BL012DX 2-IN-1 15.6IN 4K UHD TOUCHSCREEN LAPTOP - INTEL CORE I7 - NVIDIA GEFORCE 940MX, 16GB MEMORY, 512GB SOLID STATE DRIVE (RENEWED)",HP,HP SPECTRE X360 (15-BL012DX),15.6,3840,2160,GLOSSY,1,INTEL CORE I7,INTEL CORE I7-7500U 2.7 GHZ (7TH GEN KABY LAKE DUAL-CORE WITH HYPER-THREADING),0.0,1,NVIDIA GEFORCE 940MX,WINDOWS,WINDOWS 10,16,512,512,4.42,1499.77,1499.77,INTEL,CORE I7,NVIDIA,GEFORCE 940MX,10,7500U,2.7,3500.0,1603.0,DUAL-CORE,1.0,HP SPECTRE
38,27584,"APPLE MACBOOK PRO 13 (MID 2012) - CORE I7 2.9GHZ, 8GB, 750GB HDD (RENEWED)",APPLE,APPLE MACBOOK PRO 2012,13.3,1280,800,GLOSSY,0,INTEL CORE I7,INTEL CORE I7-3520M 2.9 GHZ (3RD GEN IVY BRIDGE DUAL-CORE WITH HYPER-THREADING),0.0,0,INTEL HD 4000,MACOS,OS X LION,8,0,750,4.5,479.95,529.99,INTEL,CORE I7,INTEL,HD 4000,LION,3520M,2.9,1302.0,329.0,DUAL-CORE,1.0,APPLE MACBOOK PRO
