,id,brand,base_name,os_details,gpu_brand,cpu_brand,cpu_type_name,gpu_type,screen_surface,screen_size,pixels_x,touchscreen,discrete_gpu,gpu,ram,ssd,detachable_keyboard,weight,storage,cpu_benchmark,gpu_benchmark,cpu_GHZ,cpu_core,threading,pc_name,min_price,max_price
16,28803,MSI,MSI GL63 8SC,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1650,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1650,8,256,0.0,5.07,256,10418.0,7868.0,2.2,HEXA-CORE,1.0,MSI,839.0,896.48
17,26957,ASUS,ASUS VIVOBOOK S530FA,WINDOWS 10 HOME,INTEL,INTEL,CORE I5,UHD 620,MATTE,15.6,1920,0,0,INTEL UHD 620,8,256,0.0,3.97,256,6068.0,888.0,1.6,QUAD-CORE,1.0,ASUS VIVOBOOK,579.0,579.99
18,20514,ASUS,ASUS FX73VE,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1050 TI,MATTE,17.3,1920,0,1,NVIDIA GEFORCE GTX 1050 TI,8,0,0.0,6.6,1000,7069.0,6657.0,2.8,QUAD-CORE,1.0,ASUS,1539.0,1539.0
19,21890,ASUS,ASUS ROG ZEPHYRUS M GM501,WINDOWS 10 PRO,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1070,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1070,16,256,0.0,5.4,1256,10418.0,13557.0,2.2,HEXA-CORE,1.0,ASUS ROG ZEPHYRUS M,1639.0,1649.0
20,22558,DELL,DELL INSPIRON 7567,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I5,GEFORCE GTX 1050 TI,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1050 TI,8,256,0.0,6.61,256,5260.0,6657.0,2.5,QUAD-CORE,0.0,DELL INSPIRON,760.0,763.2
21,28046,ACER,ACER SPIN 3 SP314-53N,WINDOWS 10 HOME,INTEL,INTEL,CORE I7,UHD 620,GLOSSY,14.0,1920,1,0,INTEL UHD 620,16,512,0.0,3.75,512,6777.0,888.0,1.8,QUAD-CORE,1.0,ACER SPIN,719.0,719.0
22,30991,MSI,MSI GF63 THIN 9SC,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1650,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1650,16,512,0.0,4.1,512,11636.0,7868.0,2.6,HEXA-CORE,1.0,MSI,888.95,949.0
23,19855,APPLE,APPLE MACBOOK AIR MJVM2LL/A,OS X YOSEMITE,INTEL,INTEL,CORE I5,HD 6000,GLOSSY,11.6,1366,0,0,INTEL HD 6000,4,128,0.0,2.38,128,2142.0,829.0,1.6,DUAL-CORE,1.0,APPLE MACBOOK AIR,380.44,405.82
24,23205,DELL,DELL INSPIRON 5575,WINDOWS 10 HOME,AMD,AMD,RYZEN 5,RADEON VEGA 8,GLOSSY,15.6,1920,1,0,AMD RADEON VEGA 8,16,0,0.0,4.89,1000,6317.0,1509.0,2.0,QUAD-CORE,1.0,DELL INSPIRON,565.0,565.0
25,28643,ASUS,ASUS ROG STRIX SCAR II GL704GM,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1060,MATTE,17.3,1920,0,1,NVIDIA GEFORCE GTX 1060,16,256,0.0,6.39,1256,10418.0,10210.0,2.2,HEXA-CORE,1.0,ASUS ROG STRIX SCAR II,1588.0,1599.0
26,6768,HP,HP 15-F215DX,WINDOWS 8.1,AMD,AMD,A8,RADEON R5,GLOSSY,15.6,1366,0,0,AMD RADEON R5,4,0,0.0,4.8,750,2341.0,148.0,2.0,QUAD-CORE,0.0,HP,449.99,449.99
27,8285,DELL,DELL INSPIRON I7559-2512,WINDOWS 10,NVIDIA,INTEL,CORE I7,GEFORCE GTX 960M,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 960M,8,8,0.0,5.67,1008,6661.0,3467.0,2.6,QUAD-CORE,1.0,DELL INSPIRON,809.99,809.99
28,10358,DELL,DELL INSPIRON I3552,WINDOWS 10,INTEL,INTEL,PENTIUM,HD,GLOSSY,15.6,1366,0,0,INTEL HD,4,0,0.0,4.85,500,1243.0,10.0,1.6,QUAD-CORE,0.0,DELL INSPIRON,399.99,399.99
29,12778,SAMSUNG,SAMSUNG NOTEBOOK 9 NP900X5L-K02US,WINDOWS 10,INTEL,INTEL,CORE I7,HD 520,MATTE,15.0,1920,0,0,INTEL HD 520,8,256,0.0,2.9,256,3369.0,864.0,2.5,DUAL-CORE,1.0,SAMSUNG NOTEBOOK,722.0,722.0
30,29632,HP,HP OMEN 15T,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE RTX 2070,MATTE,15.6,3840,0,1,NVIDIA GEFORCE RTX 2070,64,2000,0.0,5.26,4000,11636.0,16632.0,2.6,HEXA-CORE,1.0,HP OMEN,2199.99,2199.99
31,12766,SAMSUNG,SAMSUNG CHROMEBOOK PLUS XE513C24-K01US,CHROME OS,Unknown,OP1,OP1,No GPU,GLOSSY,12.3,2400,1,0,,4,32,0.0,2.38,32,4957.364729458918,3113.8426294820715,2.0,HEXA-CORE,0.0,SAMSUNG CHROMEBOOK PLUS,559.0,584.97
32,28224,HP,HP 15-BS289WM,WINDOWS 10 HOME,INTEL,INTEL,PENTIUM,UHD 605,GLOSSY,15.6,1366,1,0,INTEL UHD 605,4,0,0.0,4.19792490118577,1000,2801.0,355.0,1.1,QUAD-CORE,0.0,HP,325.99,360.0
33,23204,HP,HP 15-DB0030NR,WINDOWS 10 HOME,AMD,AMD,RYZEN 3,RADEON VEGA 3,GLOSSY,15.6,1366,1,0,AMD RADEON VEGA 3,8,0,0.0,4.6,1000,4061.0,904.0,2.5,DUAL-CORE,1.0,HP,475.0,551.57
34,26138,LENOVO,LENOVO IDEAPAD 320,WINDOWS 10 HOME,INTEL,INTEL,CORE I5,HD 620,MATTE,17.3,1600,0,0,INTEL HD 620,8,0,0.0,6.17,1000,3522.0,888.0,2.5,DUAL-CORE,1.0,LENOVO IDEAPAD,693.0,693.0
35,20094,LENOVO,LENOVO IDEAPAD,WINDOWS 10 HOME,AMD,AMD,A12,RADEON R7,MATTE,15.6,1366,0,0,AMD RADEON R7,8,0,0.0,4.85,1000,2741.0,551.0,2.7,QUAD-CORE,0.0,LENOVO IDEAPAD,424.22,424.22
36,26778,ACER,ACER PREDATOR TRITON 500 PT515-51,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE RTX 2060,MATTE,15.6,1920,0,1,NVIDIA GEFORCE RTX 2060,16,512,0.0,4.41,512,10418.0,15156.0,2.2,HEXA-CORE,1.0,ACER PREDATOR TRITON,1637.0,1652.6
37,17020,HP,HP SPECTRE X360 (15-BL012DX),WINDOWS 10,NVIDIA,INTEL,CORE I7,GEFORCE 940MX,GLOSSY,15.6,3840,1,1,NVIDIA GEFORCE 940MX,16,512,0.0,4.42,512,3500.0,1603.0,2.7,DUAL-CORE,1.0,HP SPECTRE,1499.77,1499.77
38,27584,APPLE,APPLE MACBOOK PRO 2012,OS X LION,INTEL,INTEL,CORE I7,HD 4000,GLOSSY,13.3,1280,0,0,INTEL HD 4000,8,0,0.0,4.5,750,1302.0,329.0,2.9,DUAL-CORE,1.0,APPLE MACBOOK PRO,479.95,529.99
39,29846,MICROSOFT,MICROSOFT SURFACE PRO 7,WINDOWS 10 HOME,INTEL,INTEL,CORE I7,IRIS PLUS,GLOSSY,12.3,2736,1,0,INTEL IRIS PLUS,16,256,0.0,1.74,256,8923.0,1888.0,1.3,QUAD-CORE,1.0,MICROSOFT SURFACE PRO,1250.36,1259.0
40,6775,DELL,DELL INSPIRON 15 I7537T-1122SLV,WINDOWS 8.1,INTEL,INTEL,CORE I5,HD,GLOSSY,15.6,1366,1,0,INTEL HD,6,0,0.0,5.7,1000,2343.0,10.0,1.7,DUAL-CORE,1.0,DELL INSPIRON,669.0,669.0
41,13771,ACER,ACER ASPIRE E 15 E5-575G-57D4,WINDOWS 10,NVIDIA,INTEL,CORE I5,GEFORCE 940MX,MATTE,15.6,1920,0,1,NVIDIA GEFORCE 940MX,8,256,0.0,5.27,256,3522.0,1603.0,2.5,DUAL-CORE,1.0,ACER ASPIRE E,999.0,999.0
42,20962,LENOVO,LENOVO YOGA 720,WINDOWS 10 HOME,INTEL,INTEL,CORE I7,UHD 620,GLOSSY,13.3,1920,1,0,INTEL UHD 620,16,512,0.0,2.9,512,6134.0,888.0,1.8,QUAD-CORE,1.0,LENOVO YOGA,995.49,999.0
43,30513,OTHER,PROSTAR NH58RDQ,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE RTX 2060,MATTE,15.6,1920,0,1,NVIDIA GEFORCE RTX 2060,32,500,0.0,5.0,1500,11636.0,15156.0,2.6,HEXA-CORE,1.0,PROSTAR,1399.0,1449.0
44,4062,DELL,DELL INSPIRON 15.6-INCH,WINDOWS 8,INTEL,INTEL,CORE I3,HD (UMA),GLOSSY,15.6,1366,1,0,INTEL HD (UMA),4,0,0.0,6.0,500,1115.0,3113.8426294820715,1.9,DUAL-CORE,0.0,DELL INSPIRON,417.57,417.57
45,22746,MSI,MSI GP73 LEOPARD,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1070,MATTE,17.3,1920,0,1,NVIDIA GEFORCE GTX 1070,16,256,0.0,5.95,1256,10418.0,13557.0,2.2,HEXA-CORE,1.0,MSI,1649.0,1649.0
46,30519,DELL,DELL INSPIRON 3583,WINDOWS 10 HOME,INTEL,INTEL,CORE I5,UHD 620,GLOSSY,15.6,1366,1,0,INTEL UHD 620,8,256,0.0,4.41,256,6068.0,888.0,1.6,QUAD-CORE,1.0,DELL INSPIRON,431.05,445.0
47,6786,DELL,DELL INSPIRON 15 I3542-6003BK,WINDOWS 8.1,INTEL,INTEL,CORE I3,HD,GLOSSY,15.6,1366,1,0,INTEL HD,4,0,0.0,5.3,500,1863.0,10.0,1.9,DUAL-CORE,1.0,DELL INSPIRON,498.88,498.88
48,21893,ACER,ACER CHROMEBOOK 11 CB3-131-C3SZ,CHROME OS,INTEL,INTEL,CELERON,HD,MATTE,11.6,1366,0,0,INTEL HD,2,16,0.0,2.43,16,618.0,10.0,2.16,DUAL-CORE,0.0,ACER CHROMEBOOK,134.99,139.99
49,12294,LENOVO,LENOVO YOGA 710,WINDOWS 10,INTEL,INTEL,CORE I5,HD 620,GLOSSY,14.0,1920,1,0,INTEL HD 620,8,256,0.0,3.42,256,3522.0,888.0,2.5,DUAL-CORE,1.0,LENOVO YOGA,824.99,824.99
50,21213,DELL,DELL INSPIRON 7570,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE 940MX,GLOSSY,15.6,1920,1,1,NVIDIA GEFORCE 940MX,8,0,0.0,4.41,1000,6134.0,1603.0,1.8,QUAD-CORE,1.0,DELL INSPIRON,899.99,899.99
51,17748,ASUS,ASUS FX502VM,WINDOWS 10,NVIDIA,INTEL,CORE I5,GEFORCE GTX 1060,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1060,16,0,0.0,4.9,1000,4398.0,10210.0,2.3,QUAD-CORE,0.0,ASUS,799.9,799.9
52,28485,DELL,DELL XPS 9370,WINDOWS 10 HOME,INTEL,INTEL,CORE I7,UHD 620,GLOSSY,13.3,3840,1,0,INTEL UHD 620,8,256,0.0,2.68,256,6134.0,888.0,1.8,QUAD-CORE,1.0,DELL XPS,1072.0,1079.99
53,31192,DELL,DELL LATITUDE 5500,WINDOWS 10 PRO,INTEL,INTEL,CORE I7,UHD 620,MATTE,15.6,1920,0,0,INTEL UHD 620,16,512,0.0,4.03,512,6807.0,888.0,1.9,QUAD-CORE,1.0,DELL LATITUDE,1199.0,1199.0
54,23424,RAZER,RAZER BLADE 15,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1070,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1070,16,256,0.0,4.63,256,10418.0,13557.0,2.2,HEXA-CORE,1.0,RAZER BLADE,2999.11,2999.11
55,7495,ACER,ACER ASPIRE E 15 E5-573G,WINDOWS 10,NVIDIA,INTEL,CORE I5,GEFORCE 940M,MATTE,15.6,1920,0,1,NVIDIA GEFORCE 940M,8,0,0.0,5.29,1000,2546.0,1048.0,2.2,DUAL-CORE,1.0,ACER ASPIRE E,789.0,789.0
56,23115,ALIENWARE,ALIENWARE 15 R3,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1070,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1070,16,128,0.0,7.69,1128,7069.0,13557.0,2.8,QUAD-CORE,1.0,ALIENWARE,1491.79,1496.79
57,24019,LENOVO,LENOVO IDEAPAD 330,WINDOWS 10 HOME,INTEL,INTEL,CELERON,UHD 600,MATTE,15.6,1366,0,0,INTEL UHD 600,4,0,0.0,4.85,500,2645.0,345.0,1.1,QUAD-CORE,0.0,LENOVO IDEAPAD,255.0,255.0
58,13772,HP,HP 15-BA009DX,WINDOWS 10,AMD,AMD,A6,RADEON R4,GLOSSY,15.6,1366,0,0,AMD RADEON R4,4,0,0.0,4.74,500,2076.0,346.0,2.0,QUAD-CORE,0.0,HP,465.0,465.0
59,12769,ASUS,ASUS C302CA-DHM4,CHROME OS,INTEL,INTEL,CORE M3,HD 515,GLOSSY,12.5,1920,1,0,INTEL HD 515,4,64,0.0,2.65,64,1862.0,688.0,0.9,DUAL-CORE,1.0,ASUS,509.97,599.9
60,28330,HP,HP,WINDOWS 10 HOME,INTEL,INTEL,PENTIUM,UHD 605,GLOSSY,15.6,1366,1,0,INTEL UHD 605,8,0,0.0,4.3,1000,2801.0,355.0,1.1,QUAD-CORE,0.0,HP,379.0,407.98
61,20740,HP,HP PAVILION 14-BK091ST,WINDOWS 10 HOME,INTEL,INTEL,CORE I5,HD 620,GLOSSY,14.0,1366,0,0,INTEL HD 620,8,0,0.0,3.63,1000,3522.0,888.0,2.5,DUAL-CORE,1.0,HP PAVILION,440.0,475.0
62,30515,OTHER,PROSTAR P950RF,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE RTX 2070,MATTE,15.6,1920,0,1,NVIDIA GEFORCE RTX 2070,32,500,0.0,4.6,2500,11636.0,16632.0,2.6,HEXA-CORE,1.0,PROSTAR,1679.0,1799.0
63,25932,ACER,ACER PREDATOR HELIOS 500 PH517-51,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1070,MATTE,17.3,1920,0,1,NVIDIA GEFORCE GTX 1070,16,256,0.0,8.82,1256,10418.0,13557.0,2.2,HEXA-CORE,1.0,ACER PREDATOR HELIOS,1529.0,1529.0
64,19845,HP,HP CHROMEBOOK 11 G5,CHROME OS,INTEL,INTEL,CELERON,HD 400,MATTE,11.6,1366,0,0,INTEL HD 400,4,16,0.0,2.51,16,759.0,329.0,1.6,DUAL-CORE,0.0,HP CHROMEBOOK,140.89,142.84
65,24838,APPLE,APPLE MACBOOK 2017,MACOS HIGH SIERRA,INTEL,INTEL,CORE M3,HD 615,GLOSSY,12.0,2304,0,0,INTEL HD 615,8,256,0.0,2.03,256,2644.0,799.0,1.2,DUAL-CORE,1.0,APPLE MACBOOK,799.99,899.99
66,8067,DELL,DELL INSPIRON,WINDOWS 10,INTEL,INTEL,CORE I5,HD 4400,GLOSSY,15.6,1920,1,0,INTEL HD 4400,8,0,0.0,5.3,1000,2546.0,530.0,2.2,DUAL-CORE,1.0,DELL INSPIRON,588.0,588.0
67,22138,DELL,DELL INSPIRON 15 3000,WINDOWS 10 HOME,INTEL,INTEL,CELERON,HD 400,GLOSSY,15.6,1366,0,0,INTEL HD 400,4,0,0.0,5.07,500,759.0,329.0,1.6,DUAL-CORE,0.0,DELL INSPIRON,378.99,379.0
68,19613,LENOVO,LENOVO YOGA 710,WINDOWS 10 HOME,INTEL,INTEL,CORE I5,HD 620,GLOSSY,15.6,1920,1,0,INTEL HD 620,8,256,0.0,4.45,256,3522.0,888.0,2.5,DUAL-CORE,1.0,LENOVO YOGA,499.99,540.0
69,20098,DELL,DELL INSPIRON 5379,WINDOWS 10 HOME,INTEL,INTEL,CORE I5,UHD 620,GLOSSY,13.3,1920,1,0,INTEL UHD 620,8,256,0.0,3.56,256,6372.0,888.0,1.6,QUAD-CORE,1.0,DELL INSPIRON,623.0,642.0
70,27886,DELL,DELL INSPIRON 5570,WINDOWS 10 HOME,INTEL,INTEL,CORE I7,UHD 620,GLOSSY,15.6,1920,1,0,INTEL UHD 620,12,0,0.0,4.85,1000,6134.0,888.0,1.8,QUAD-CORE,1.0,DELL INSPIRON,733.0,748.0
71,23118,DELL,DELL G3 3579,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1050 TI,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1050 TI,16,256,0.0,5.57,1256,10418.0,6657.0,2.2,HEXA-CORE,1.0,DELL,1065.0,1099.0
72,25930,MSI,MSI GS65 STEALTH,WINDOWS 10 PRO,NVIDIA,INTEL,CORE I7,GEFORCE RTX 2080 MAX-Q,MATTE,15.6,1920,0,1,NVIDIA GEFORCE RTX 2080 MAX-Q,16,256,0.0,4.19,256,10418.0,14482.0,2.2,HEXA-CORE,1.0,MSI,2399.0,2799.0
73,20961,DELL,DELL INSPIRON 5379,WINDOWS 10 HOME,INTEL,INTEL,CORE I7,UHD 620,GLOSSY,13.3,1920,1,0,INTEL UHD 620,16,256,0.0,3.72,256,6134.0,888.0,1.8,QUAD-CORE,1.0,DELL INSPIRON,750.0,850.0
74,25585,HP,HP 14-CF0014DX,WINDOWS 10 HOME,INTEL,INTEL,CORE I3,HD 620,GLOSSY,14.0,1366,0,0,INTEL HD 620,8,128,0.0,3.15,128,2806.0,888.0,2.4,DUAL-CORE,1.0,HP,328.0,339.0
75,14067,ASUS,ASUS ZENBOOK UX390UA-XH74-BL,WINDOWS 10,INTEL,INTEL,CORE I7,HD 620,GLOSSY,12.5,1920,0,0,INTEL HD 620,16,512,0.0,2.1,512,3500.0,888.0,2.7,DUAL-CORE,1.0,ASUS ZENBOOK,1968.88,1968.88
76,26135,ALIENWARE,ALIENWARE 17 R5,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1060,MATTE,17.3,1920,0,1,NVIDIA GEFORCE GTX 1060,8,256,0.0,9.74,1256,10418.0,10210.0,2.2,HEXA-CORE,1.0,ALIENWARE,1699.0,1699.0
77,26144,LENOVO,LENOVO IDEAPAD 330,WINDOWS 10 HOME,INTEL,INTEL,CORE I3,UHD 620,MATTE,15.6,1366,0,0,INTEL UHD 620,8,0,0.0,4.85,1000,3676.0,888.0,2.2,DUAL-CORE,1.0,LENOVO IDEAPAD,373.91,399.0
78,14060,DELL,DELL XPS9360-7336SLV,WINDOWS 10,INTEL,INTEL,CORE I7,HD 620,GLOSSY,13.3,3200,1,0,INTEL HD 620,16,512,0.0,2.7,512,3500.0,888.0,2.7,DUAL-CORE,1.0,DELL,1799.33,1799.33
79,25266,ACER,ACER CHROMEBOOK CB3-431,CHROME OS,INTEL,INTEL,CELERON,HD 400,MATTE,14.0,1920,0,0,INTEL HD 400,4,16,0.0,3.42,16,1294.0,329.0,1.6,QUAD-CORE,0.0,ACER CHROMEBOOK,248.46,249.0
80,11945,DELL,DELL INSPIRON I3558-0954,WINDOWS 10,INTEL,INTEL,CORE I3,HD 5500,GLOSSY,15.6,1366,0,0,INTEL HD 5500,6,0,0.0,4.85,1000,2151.0,568.0,2.0,DUAL-CORE,1.0,DELL INSPIRON,399.99,399.99
81,22144,HP,HP ELITEBOOK FOLIO 9470M,WINDOWS 10 PRO,INTEL,INTEL,CORE I5,HD 4000,MATTE,14.0,1366,0,0,INTEL HD 4000,8,180,0.0,3.6,180,2352.0,329.0,1.8,DUAL-CORE,1.0,HP ELITEBOOK FOLIO,204.99,229.98
82,28648,ASUS,ASUS ZENBOOK PRO DUO UX581GV,WINDOWS 10 PRO,NVIDIA,INTEL,CORE I7,GEFORCE RTX 2060,GLOSSY,15.6,3840,1,1,NVIDIA GEFORCE RTX 2060,16,1000,0.0,5.51,1000,11636.0,15156.0,2.6,HEXA-CORE,1.0,ASUS ZENBOOK PRO DUO,2489.94,2499.97
83,31421,APPLE,APPLE MACBOOK PRO 2019,MACOS CATALINA,AMD,INTEL,CORE I9,RADEON PRO 5500M,GLOSSY,16.0,3072,0,1,AMD RADEON PRO 5500M,16,1000,0.0,4.3,1000,13917.0,7017.0,2.3,OCTA-CORE,1.0,APPLE MACBOOK PRO,2568.92,2652.49
84,20506,LENOVO,LENOVO LEGION Y720,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1060,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1060,8,256,0.0,7.05,256,7069.0,10210.0,2.8,QUAD-CORE,1.0,LENOVO LEGION,1099.99,1099.99
85,23419,MSI,MSI GL62M 7RD,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I5,GEFORCE GTX 1050,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1050,8,256,0.0,5.29,256,5260.0,5595.0,2.5,QUAD-CORE,0.0,MSI,898.99,899.0
86,29202,ASUS,ASUS VIVOBOOK F510QA,WINDOWS 10 S,AMD,AMD,A12,RADEON R7,MATTE,15.6,1920,0,0,AMD RADEON R7,8,256,0.0,3.7,256,2741.0,551.0,2.7,QUAD-CORE,0.0,ASUS VIVOBOOK,355.0,388.02
87,28802,MSI,MSI GL63 8RCS,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I5,GEFORCE GTX 1050,MATTE,15.6,1920,0,1,NVIDIA GEFORCE GTX 1050,8,256,0.0,5.07,256,7584.0,5595.0,2.3,QUAD-CORE,1.0,MSI,683.99,699.0
88,22560,LENOVO,LENOVO YOGA BOOK,ANDROID 6,INTEL,INTEL,ATOM,HD 400,GLOSSY,10.1,1920,1,0,INTEL HD 400,4,64,0.0,1.52,64,1395.0,329.0,1.44,QUAD-CORE,0.0,LENOVO YOGA BOOK,599.99,599.99
89,23203,HP,HP ENVY X360,WINDOWS 10 HOME,AMD,AMD,RYZEN 5,RADEON VEGA 8,GLOSSY,15.6,1920,1,0,AMD RADEON VEGA 8,8,128,0.0,4.49,1128,6317.0,1509.0,2.0,QUAD-CORE,1.0,HP ENVY,749.0,749.0
90,29635,DELL,DELL LATITUDE 3500,WINDOWS 10 PRO,INTEL,INTEL,CORE I5,UHD 620,MATTE,15.6,1920,0,0,INTEL UHD 620,16,256,0.0,4.37,256,6068.0,888.0,1.6,QUAD-CORE,1.0,DELL LATITUDE,849.99,849.99
91,22858,MICROSOFT,MICROSOFT SURFACE LAPTOP,WINDOWS 10 S,INTEL,INTEL,CORE I5,HD 620,GLOSSY,13.5,2256,1,0,INTEL HD 620,4,128,0.0,2.76,128,3522.0,888.0,2.5,DUAL-CORE,1.0,MICROSOFT SURFACE LAPTOP,540.0,553.0
