,id,name,brand,base_name,screen_size,pixels_x,pixels_y,screen_surface,touchscreen,cpu,cpu_details,detachable_keyboard,discrete_gpu,gpu,os,os_details,ram,ssd,storage,weight,act_min_price,act_max_price,index,pred_min_price,pred_max_price
10,28979,"Lenovo ThinkPad X1 Carbon 7th Generation Ultrabook: Core i7-8565U, 16GB RAM, 512GB SSD, 14"" FHD Touchscreen Display, Backlit Keyboard",Lenovo,Lenovo ThinkPad X1 Carbon (7th Generation),14.0,1920.0,1080.0,Glossy,1,Intel Core i7,Intel Core i7-8565U 1.8 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,16,512,512,2.65,1481.35,1548.9,205,1166.0210499999946,1207.3707466666554
11,27738,"Samsung Notebook Flash Memory 4 GB, Storage 64 GB eMMC, 13.3"", Charcoal Gray (NP530XBB-K02US)",Samsung,Samsung Notebook Flash,13.3,1920.0,1080.0,Matte,0,Intel Pentium,Intel Pentium Silver N5000 1.1 GHz (Gemini Lake Quad-Core),0.0,0,Intel UHD 605,Windows,Windows 10 Home,4,64,64,3.02,359.95,359.95,129,317.72367333333,329.5850766666635
12,24020,"ASUS 10.1â€ Transformer Mini T103HA-D4-GR, 2 in 1 Touchscreen Laptop, Intel Quad-Core, 128GB SSD, Grey, pen and keyboard included",Asus,Asus Transformer Mini T103HA,10.1,1280.0,800.0,Glossy,1,Intel Atom,Intel Atom x5-Z8350 1.44 GHz (Cherry Trail Quad-Core),1.0,0,Intel HD 400,Windows,Windows 10 Home,4,128,128,1.9,403.19,469.99,78,420.24255666666306,430.06307333333035
13,19840,"ASUS ZenBook 13 Ultra-Slim Laptop, 13.3â€ Full HD, 8th Gen Intel i5-8250U Processor, 8GB RAM, 256GB M.2 SSD, Backlit Kbd, Fingerprint Reader, Windows 10, Grey, UX330UA-AH55",Asus,Asus ZenBook UX330UA,13.3,1920.0,1080.0,Matte,0,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,256,256,2.64,829.99,829.99,45,745.0593733333376,775.4580766666633
14,21215,"Dell Inspiron 15.6"" Full HD Touchscreen Flagship Laptop, i7-7500U, 16GB DDR4, 1TB HDD, AMD Radeon R7 M445 Graphics, 802.11ac, Bluetooth 4.2, HD Webcam, 2 x USB 3.0, HDMI, Win 10",Dell,Dell Inspiron,15.6,1920.0,1080.0,Glossy,1,Intel Core i7,Intel Core i7-7500U 2.7 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,1,AMD Radeon R7 M445,Windows,Windows 10 Home,16,0,1000,5.1,744.0,744.0,71,1037.5826466666651,1086.1096499999978
15,22562,"Acer Aspire E 15, 15.6"" Full HD, 8th Gen Intel Core i7-8550U, GeForce MX150, 8GB RAM Memory, 256GB SSD, E5-576G-81GD",Acer,Acer Aspire E5-576G,15.6,1920.0,1080.0,Matte,0,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce MX150,Windows,Windows 10 Home,8,256,256,5.27,920.0,938.99,153,847.4671466666645,866.6494699999923
16,11530,HP Pavilion 15 Notebook PC,HP,HP 15-ba009dx,15.6,1366.0,768.0,Glossy,0,AMD A6,AMD A6-7310 2.0 GHz (Puma+ Quad-Core),0.0,0,AMD Radeon R4,Windows,Windows 10,4,0,500,4.74,427.0,427.0,51,426.8277866666653,433.27320000000043
17,22559,"Dell Inspiron 15 Intel Core i3-7130U 8GB 1TB HDD 15.6"" HD LED Win 10 Laptop",Dell,Dell Inspiron 3567,15.6,1366.0,768.0,Matte,0,Intel Core i3,Intel Core i3-7130U 2.7 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10 Home,8,0,1000,4.95,360.0,379.85,1,387.2608299999987,404.4411866666616
18,20746,"Microsoft Surface Book 2 13.5""(Intel Core i5, 8GB RAM, 256 GB)",Microsoft,Microsoft Surface Book 2,13.5,3000.0,2000.0,Glossy,1,Intel Core i5,Intel Core i5-7300U 2.6 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),1.0,0,Intel HD 620,Windows,Windows 10 Pro,8,256,256,3.38,1088.0,1150.0,151,937.6335233333324,983.2439133333295
19,26129,"MSI GS65 Stealth THIN-068 144Hz 7ms Ultra Thin 4.9mm Gaming Laptop i7-8750H (6 cores), GTX 1070 8G, 32GB DRAM, 1TB NVMe SSD, 15.6"", Black w/ Gold Diamond Cut, RGB KB, Win 10 Pro 64 Bit",MSI,MSI GS65 Stealth Thin,15.6,1920.0,1080.0,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Pro,32,1000,1000,4.14,2999.0,2999.0,27,1754.0289700000042,1814.270430000014
20,26141,"Lenovo Yoga 720 2-in-1 15.6"" FHD IPS Touch-Screen Ultrabook, Quad Core Intel i7-7700HQ, 8GB DDR4 RAM, 256GB SSD, Thunderbolt, Fingerprint Reader, Backlit Keyboard, Built for Windows Ink-Win10",Lenovo,Lenovo Yoga 720,15.6,1920.0,1080.0,Glossy,1,Intel Core i7,Intel Core i7-7700HQ 2.8 GHz (7th gen Kaby Lake Quad-Core with Hyper-Threading),0.0,0,Intel HD 630,Windows,Windows 10 Home,8,256,256,4.41,724.99,749.29,10,967.9033999999969,999.3543566666633
21,22370,"HP Spectre x360 15-BL152NR 2-in-1 15.6in 4K UHD TouchScreen Laptop - Core i7-8550U, GeForce MX150, 16GB Memory, 512GB Solid State Drive (Renewed)",HP,HP Spectre x360,15.6,3840.0,2160.0,Glossy,1,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce MX150,Windows,Windows 10 Home,16,512,512,4.4,1499.77,1499.77,55,1354.5201299999987,1435.7640266666667
22,7261,"Microsoft Surface Book CR9-00001 Laptop (Windows 10, Intel Core i5, 13.5"" LCD Screen, Storage: 128 GB, RAM: 8 GB) silver",Microsoft,Microsoft Surface Book CR9,13.5,3000.0,2000.0,glossy,1,Intel Core i5,Intel Core i5-6300U 2.4 GHz (6th gen Skylake Dual-Core with Hyper-Threading),1.0,0,Intel HD 520,Windows,Windows 10,8,128,128,3.48,570.0,619.0,16,879.480956666665,924.598846666664
23,26962,"HP Spectre x360 13t Touch Laptop i7-8550U Quad Core,16GB RAM,512GB SSD,13.3"" IPS FHD Touch, Gorilla Glass, Win 10 Pro Pre-Installed by HP, Dark Ash Silver, 3 YRS McAfee Internet Security Antivirus",HP,HP Spectre x360 13t,13.3,1920.0,1080.0,Glossy,1,Intel Core i7,Intel Core i7-8550U 1.8 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Pro,16,512,512,2.78,1199.99,1199.99,157,1135.452870000015,1230.8819466666446
24,28220,"MSI GV62 8RD-275 15.6"" Performance Gaming Laptop NVIDIA GTX 1050Ti 4G, Intel Core i5-8300H, 8GB, 256GB NVMe SSD, Red Backlit KB, Win 10 Home, Aluminum Black",MSI,MSI GV62 8RD,15.6,1920.0,1080.0,Matte,0,Intel Core i5,Intel Core i5-8300H 2.3 GHz (8th gen Coffee Lake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1050 Ti,Windows,Windows 10 Home,8,256,256,4.85,945.0,949.0,38,699.4265699999904,727.6560866666672
25,24213,"Lenovo Premium 15.6â€ FHD (1920x1080) Display Laptop PC, Intel i5-7200U 2.5Ghz Processor, 8GB DDR4, 256GB SSD, Backlit keyboard, Bluetooth, DVD-RW, Fingerprint Reader, Windows 10 Pro",Lenovo,Lenovo V330,15.6,1920.0,1080.0,Matte,0,Intel Core i5,Intel Core i5-7200U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10 Pro,8,256,256,3.74,822.22,822.22,33,610.5553299999957,638.183313333331
26,21207,"Dell XPS 13 9360 Laptop (13.3"" InfinityEdge TouchScreen FHD (1920x1080), Intel 8th Gen Quad-Core i5-8250U, 128GB M.2 SSD, 8GB RAM, Backlit Keyboard, Windows 10)- Silver",Dell,Dell XPS 13 9360,13.3,1920.0,1080.0,Glossy,1,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,128,128,2.9,880.31,945.0,185,722.9813733333334,754.1719799999956
27,6782,"HP Touchsmart 15-f010dx 15.6"" Touch Screen Laptop - Intel Core i3 / 4GB Memory / 500GB Hard Drive / DVDÂ±RW/CD-RW / Webcam / Windows 8.1 64-bit",HP,HP Pavilion TouchSmart 15-f010dx,15.6,1366.0,768.0,glossy,1,Intel Core i3,Intel Core i3-4010U 1.7GHz (4th gen Haswell Dual-Core with Hyper-Threading),0.0,0,Intel HD 4400,Windows,Windows 8.1,4,0,500,5.05,397.88,397.88,116,412.09282666666485,423.55407333333164
28,26117,"2018 Newest Lenovo Ideapad 15.6"" HD Premium High Performance Laptop, AMD Quad-core A12-9720P processor 2.7GHz, 8GB DDR4, 1TB HDD, DVD, Webcam, 802.11AC, HDMI, USB Type-C, Bluetooth, Windows 10",Lenovo,Lenovo IdeaPad,15.6,1366.0,768.0,Matte,0,AMD A12,AMD A12-9720P 2.7 GHz (7th gen Bristol Ridge Quad-Core),0.0,0,AMD Radeon R7,Windows,Windows 10 Home,8,0,1000,4.85,398.0,449.0,49,422.9811399999927,427.60524666665935
29,17276,"Microsoft Surface Laptop (1st Gen) DAL-00001 Laptop (Windows 10 S, Intel Core i7, 13.5"" LED-Lit Screen, Storage: 512 GB, RAM: 16 GB) Platinum",Microsoft,Microsoft Surface Laptop,13.5,2256.0,1504.0,Glossy,1,Intel Core i7,Intel Core i7-7660U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),1.0,0,IntelÂ Iris Plus 640,Windows,Windows 10,16,512,512,2.83,859.99,919.0,171,1350.813623333336,1390.4325699999883
30,8219,"Alienware AW17R3-4175SLV 17.3-Inch FHD Laptop (6th Generation Intel Core i7, 16 GB RAM, 1 TB HDD + 256 GB SATA SSD,NVIDIA GeForce GTX 970M, Windows 10 Home), Silver)",Alienware,Alienware AW17R3-4175SLV,17.3,1920.0,1080.0,Glossy,0,Intel Core i7,Intel Core i7-6700HQ 2.6 GHz (6th gen Skylake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 970M,Windows,Windows 10,16,256,1256,8.33,2499.55,2499.55,85,1520.880166666681,1561.3481866666832
31,6719,"Dell Inspiron 15 5000 Series  15.6 Inch Laptop (Intel Core i5 5200U, 8 GB RAM, 1 TB HDD, Silver) with MaxxAudio",Dell,Dell Inspiron 15 i5558-2144SLV,15.6,1366.0,768.0,glossy,0,Intel Core i5,Intel Core i5-5200U 2.20 GHz (5th gen Broadwell Dual-Core with Hyper-Threading),0.0,0,Intel HD,Windows,Windows 10,8,0,1000,5.4,639.0,639.0,63,534.870966666666,538.0568933333324
32,10548,"Apple MacBook Pro MF841LL/A 13.3-Inch Laptop (Intel Core i5 512GB 8 GB DDR3 SDRAM, Mac OS X) Silver (Renewed)",Apple,Apple MacBook Pro 2015,13.3,2560.0,1600.0,glossy,0,Intel Core i5,Intel Core i5-5287U 2.9 GHz (Broadwell Dual-Core with Hyper-Threading),0.0,0,Intel Iris 6100,macOS,OS X Yosemite,8,512,512,3.48,599.99,707.73,138,1095.7740133333289,1157.620343333328
33,26362,"Asus Chromebook C523NA-DH02 15.6"" HD NanoEdge Display, 180 Degree, Intel Dual Core Celeron Processor, 4GB RAM, 32GB eMMC Storage, Silver Color",Asus,Asus Chromebook C523NA,15.6,1366.0,768.0,Matte,0,Intel Celeron,Intel Celeron N3350 1.1 GHz (Apollo Lake Dual-Core),0.0,0,Intel HD 500,Chrome OS,Chrome OS,4,32,32,3.1,229.0,239.99,191,210.8756566666653,223.28137999999888
34,21208,"Samsung XE303C12-A01US Samsung Exynos 5250 X2 1.7GHz 2GB 16GB SSD 11.6in,Silver(Renewed)",Samsung,Samsung Chromebook XE303C12,11.6,1366.0,768.0,Matte,0,Samsung Exynos,Samsung Exynos 5250 1.7 GHz (Dual-Core),0.0,0,Mali-T604,Chrome OS,Chrome OS,2,16,16,2.43,84.85,89.94,75,233.74479999999824,243.73269666666712
35,6998,"Lenovo - Yoga 3 2-in-1 14"" Touch-Screen Laptop - Intel Core i5 - 8GB - 256GB SSD - Black",Lenovo,Lenovo Yoga 3 80JH0025US,14.0,1920.0,1080.0,glossy,1,Intel Core i5,Intel Core i5-5200U 2.20 GHz (5th gen Broadwell Dual-Core with Hyper-Threading),0.0,0,Intel HD 5500,Windows,Windows 8.1,8,256,256,3.52,799.99,799.99,69,856.6962199999982,862.0170666666645
36,23611,"Dell XPS9560-5000SLV-PUS 15.6"" Ultra Thin and Light Laptop with 4K Touch Display, 7th Gen Core i5 ( up to 3.5 GHz), 8GB, 256GB SSD, Nvidia Gaming GTX 1050, Aluminum Chassis",Dell,Dell XPS 9560,15.6,3840.0,2160.0,Glossy,1,Intel Core i5,Intel Core i5-7300HQ 2.5 GHz (7th gen Kaby Lake Quad-Core),0.0,1,NVIDIA GeForce GTX 1050,Windows,Windows 10 Home,8,256,256,4.5,1053.96,1054.0,183,1041.0896933333297,1098.6824333333288
37,27579,"ASUS X555QA Laptop, 15.6â€ HD, AMD Quad Core A12-9700P (Up to 3.4GHz) Processor, 8GB DDR4 RAM, 1TB Hybrid HDD, Windows 10 64-bit - X555QA-DH12",Asus,Asus X555QA,15.6,1366.0,768.0,Matte,0,AMD A12,AMD A12-9700P 2.5 GHz (7th gen Bristol Ridge Quad-Core),0.0,0,AMD Radeon R7,Windows,Windows 10 Home,8,0,1000,4.5,482.18,484.06,109,436.3447266666655,461.78737999999913
38,22146,"Apple Macbook (Early 2015) 12â€ laptop, Retina Display, 256GB PCI-E SSD, 8GB, Bluetooth, MacOS Yosemite â€“ Gold (Renewed)",Apple,Apple MacBook 2015,12.0,2304.0,1440.0,Glossy,0,Intel Core M,Intel Core M-5Y51 1.1 GHz (5th gen Broadwell Dual-Core with Hyper-Threading),0.0,0,Intel HD 5300,macOS,OS X Yosemite,8,256,256,2.03,999.77,999.77,150,772.6154033333297,823.4162933333319
39,28641,"Lenovo wt-81FY000SUS 300e Winbook Touchscreen LCD 2 in 1 Notebook, Windows 10 Pro, Intel Celeron N3450, 1.1 GHz, 64 GB, 11.6""",Lenovo,Lenovo 300e,11.6,1366.0,768.0,Glossy,1,Intel Celeron,Intel Celeron N3450 1.1 GHz (Apollo Lake Quad-Core),0.0,0,Intel HD 500,Windows,Windows 10 Pro,4,64,64,3.19,209.97,209.99,54,335.85077666666473,346.1305299999987
40,7859,"ASUS ZenBook UX303UA 13.3-Inch FHD Touchscreen Laptop, Intel Core i5, 8 GB RAM, 256 GB SSD, Windows 10 (64 bit)",Asus,Asus ZenBook UX303UA,13.3,1920.0,1080.0,Glossy,1,Intel Core i5,Intel Core i5-6200U 2.3 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD,Windows,Windows 10,8,256,256,3.2,1092.8,1092.8,145,807.7268433333312,813.4726433333323
41,28222,"ASUS VivoBook L203MA Ultra-Thin Laptop, 11.6â€ HD, Intel Celeron N4000 Processor (up to 2.6 GHz), 4GB RAM, 64GB eMMC, USB-C, Windows 10 in S Mode, One Year of Microsoft Office 365, L203MA-DS04",Asus,Asus VivoBook L203MA,11.6,1366.0,768.0,Glossy,0,Intel Celeron,Intel Celeron N4000 1.1 GHz (Gemini Lake Dual-Core),0.0,0,Intel UHD 600,Windows,Windows 10 S,4,64,64,2.2,204.0,209.01,190,260.6269266666652,281.2089266666659
42,30294,"2019 Lenovo ThinkPad X260 12.5"" IPS Anti-Glare HD Business Laptop (Intel Dual Core i5-6200U, 16GB DDR4 Memory, 256GB SSD) WiFi AC, Bluetooth, Fingerprint, Backlit, Ethernet, Windows 10 Professional",Lenovo,Lenovo ThinkPad X260,12.5,1366.0,768.0,Matte,0,Intel Core i5,Intel Core i5-6200U 2.3 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD 520,Windows,Windows 10 Pro,16,256,256,3.18,729.99,749.99,170,744.799426666661,775.3397733333251
43,11094,"Apple MacBook Air MD760LL/A 13.3-Inch Laptop (Intel Core i5 Dual-Core 1.3GHz up to 2.6GHz, 4GB RAM, 128GB SSD, Wi-Fi, Bluetooth 4.0) (Renewed)",Apple,Apple MacBook Air 2013,13.3,1440.0,900.0,Glossy,0,Intel Core i5,Intel Core i5-4250U 1.3 GHz (4th gen Haswell Dual-Core  with Hyper-Threading),0.0,0,Intel HD 5000,macOS,OS X Mountain Lion,4,128,128,2.96,407.22,420.88,46,409.7786999999976,464.4170766666605
44,24629,"New 2018 Lenovo Yoga 730 2-in-1 15.6"" FHD IPS Touch-Screen Laptop, Intel i5-8250U, 8GB DDR4 RAM, 256GB PCIe SSD, Thunderbolt, Fingerprint Reader, Backlit Keyboard, Built for Windows Ink, Win10",Lenovo,Lenovo Yoga 730,15.6,1920.0,1080.0,Glossy,1,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Quad-Core Kaby Lake R with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,8,256,256,4.17,645.7,675.99,200,575.5028866666635,594.445306666667
45,23425,"Dell Gaming Laptop G3579-5941BLK-PUS G3 15 3579 - 15.6"" Full HD IPS Anti-Glare Display - 8th Gen Intel i5 Processor - 8GB DDR4 - 128GB SSD+1TB HDD - NVIDIA GeForce GTX 1050 4GB, Windows 10 64bit",Dell,Dell G3 15 3579,15.6,1920.0,1080.0,Matte,0,Intel Core i5,Intel Core i5-8300H 2.3 GHz (8th gen Coffee Lake Quad-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1050,Windows,Windows 10 Home,8,128,1128,5.95,640.99,643.99,209,749.3018399999977,801.5192633333291
46,26774,"Newest HP 15.6 inch HD Touchscreen Flagship Premium Laptop PC, Intel Core i5-7200U Dual-Core, 8GB RAM, 1TB HDD, Bluetooth, WiFi, Stereo Speakers, Windows 10 Home",HP,HP,15.6,1366.0,768.0,Glossy,1,Intel Core i5,Intel Core i5-7200U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0.0,0,Intel HD 620,Windows,Windows 10 Home,8,0,2000,4.52,538.86,542.99,156,537.3595500000041,553.7575433333408
47,26803,"Alienware M15 Gaming Laptop Intel i7-8750H, 15.6"" 300 Nits FHD 144hz Refresh Rate -16GB, 2x8GB, 512GB PCIe M.2 SSD, RTX 2060 6GB, 17.9mm Thick & 4.78lbs",Alienware,Alienware M15,15.6,1920.0,1080.0,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce RTX 2060,Windows,Windows 10 Home,16,512,512,4.78,1449.99,1499.99,94,1608.4748366666713,1661.7364800000187
48,18665,"Microsoft Surface Book (512 GB, 16 GB RAM, Intel Core i7, NVIDIA GeForce graphics) (Renewed)",Microsoft,Microsoft Surface Book CR7,13.5,3000.0,2000.0,glossy,1,Intel Core i7,Intel Core i7-6600U 2.6 GHz (6th gen Skylake Dual-Core with Hyper-Threading),1.0,1,NVIDIA GeForce GTX 965M,Windows,Windows 10,16,512,512,3.48,819.49,879.49,198,1444.5924733333406,1497.251410000003
49,8960,"2016 Dell XPS 13 High Performance Laptop with 13.3"" FHD IPS Infinity Borderless Display, Intel Core i5-6200U Processor, 8GB RAM, 128GB SSD, 11 hours battery life, Backlit Keyboard, Windows 10",Dell,Dell XPS 9350,13.3,1920.0,1080.0,Matte,0,Intel Core i5,Intel Core i5-6200U 2.3 GHz (6th gen Skylake Dual-Core with Hyper-Threading),0.0,0,Intel HD 520,Windows,Windows 10,8,128,128,2.7,999.99,999.99,207,817.8438933333318,834.2028999999918
50,22553,"Razer Blade 15: World's Smallest 15.6"" Gaming Laptop - 144Hz Full HD Thin Bezel - 8th Gen Intel Core i7-8750H 6 Core - NVIDIA GeForce GTX 1070 Max-Q - 16GB RAM - 512GB SSD - Windows 10 - CNC Aluminum",Razer,Razer Blade 15,15.6,1920.0,1080.0,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Home,16,512,512,4.63,2999.11,2999.11,219,2192.6674100000273,2257.956370000043
51,26100,"Asus ROG Strix Scar II Gaming Laptop, 17.3â€ 144Hz IPS-Type FHD, NVIDIA GeForce RTX 2070 8GB, Intel Core i7-8750H Processor, 16GB DDR4 RAM, 512GB PCIe SSD + 1TB SSHD, RGB KB, Windows 10 - GL704GW-DS76",Asus,Asus ROG Strix Scar II GL704GW,17.3,1920.0,1080.0,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0.0,1,NVIDIA GeForce RTX 2070,Windows,Windows 10 Home,16,512,1512,6.39,1774.98,1999.99,147,1765.6601566666864,1828.6002433333574
52,30068,"Acer Swift 5 Ultra-Thin & Lightweight Laptop 15.6â€ FHD IPS Touch Display in a thin .23â€ bezel, 8th Gen Intel Core i7-8565U, 16GB DDR4, 512GB PCIe NVMe SSD, Back-lit Keyboard, Windows 10 SF515-51T-73TY",Acer,Acer Swift 5 SF515-51T,15.6,1920.0,1080.0,Glossy,1,Intel Core i7,Intel Core i7-8565U 1.8 GHz (8th gen Whiskey Lake Quad-Core with Hyper-Threading),0.0,0,Intel UHD 620,Windows,Windows 10 Home,16,512,512,2.2,899.98,979.0,25,1197.9411733333272,1259.1656199999863
53,26105,"Dell M4800 15.6in FHD Ultrapowerful Mobile Workstation Business Laptop Computer, Intel Core i7-4900MQ 3.8Ghz, 16GB RAM, 500GB HDD, WiFi AC, NVIDIA Quadro K2100M, Windows 10 Pro (Renewed)",Dell,Dell Precision M4800,15.6,1920.0,1080.0,Matte,0,Intel Core i7,Intel Core i7-4900MQ 2.8 GHz (4th gen Haswell Quad-Core with Hyper-Threading),0.0,1,NVIDIA Quadro K2100M,Windows,Windows 10 Pro,16,0,500,6.35,411.0,421.0,89,1136.950323333331,1158.2927966666632
