,cpu_core,brand,cpu_brand,gpu_brand,gpu,cpu_type_name,screen_surface,touchscreen,discrete_gpu,detachable_keyboard,threading,id,screen_size,ram,ssd,storage,weight,cpu_GHZ,pixels_x,cpu_benchmark,gpu_benchmark,min_price,max_price
152,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,21217,15.6,12,0,1000,5.07,2.5,1920,3522.0,888.0,568.35,589.0
228,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,0,0,0.0,1.0,27242,14.0,8,512,512,3.19,1.8,1920,6777.0,888.0,799.99,890.67
416,DUAL-CORE,MICROSOFT,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,1.0,1.0,29411,13.5,8,128,128,3.38,2.6,3000,3780.0,888.0,928.0,959.99
83,OCTA-CORE,APPLE,INTEL,AMD,AMD RADEON PRO 5500M,CORE I9,GLOSSY,0,1,0.0,1.0,31421,16.0,16,1000,1000,4.3,2.3,3072,13917.0,7017.0,2568.92,2652.49
272,HEXA-CORE,HP,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2070,CORE I7,MATTE,0,1,0.0,1.0,29206,15.6,32,512,512,5.11,2.6,1920,11636.0,16632.0,1199.99,1599.99
165,HEXA-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I7,MATTE,0,1,0.0,1.0,23607,15.6,16,512,512,4.0,2.2,1920,10418.0,6657.0,1510.0,1558.0
163,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,19841,15.6,8,0,2000,5.07,2.5,1366,3522.0,888.0,537.0,537.97
199,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,24434,15.6,8,256,256,4.17,1.8,1920,6134.0,888.0,759.99,769.99
237,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,25745,15.6,8,0,2000,4.52,2.5,1366,3522.0,888.0,529.88,545.18
74,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I3,GLOSSY,0,0,0.0,1.0,25585,14.0,8,128,128,3.15,2.4,1366,2806.0,888.0,328.0,339.0
314,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 400,CELERON,Unknown,0,0,0.0,0.0,28975,11.6,4,16,16,3.09,1.6,1366,759.0,329.0,140.0,156.99
222,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 510,PENTIUM,MATTE,1,0,0.0,0.0,24432,11.6,8,128,128,3.76,2.1,1366,2184.0,582.0,328.0,337.14
479,QUAD-CORE,LENOVO,AMD,AMD,AMD RADEON R4,A6,GLOSSY,0,0,0.0,0.0,19849,15.6,4,0,500,4.85,2.0,1366,2076.0,346.0,249.99,285.0
119,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD,CORE I5,GLOSSY,1,0,0.0,1.0,31419,15.6,8,512,512,3.75,1.0,1366,7773.0,1165.0,579.0,579.0
286,DUAL-CORE,APPLE,INTEL,INTEL,INTEL UHD 617,CORE I5,GLOSSY,0,0,0.0,1.0,29626,13.3,8,128,128,2.75,1.6,2560,3296.0,878.0,899.0,899.99
304,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1650,CORE I7,MATTE,0,1,0.0,1.0,30516,17.3,16,512,512,4.85,2.6,1920,11636.0,7868.0,899.99,1022.0
424,DUAL-CORE,HP,INTEL,NVIDIA,NVIDIA GEFORCE 940MX,CORE I7,GLOSSY,0,1,0.0,1.0,17273,15.6,12,0,1000,4.27,2.5,1366,3369.0,1603.0,787.0,787.0
360,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 400,CELERON,Unknown,0,0,0.0,0.0,10687,15.6,4,0,500,4.85,1.6,1366,759.0,329.0,259.99,264.99
407,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 5000,CORE I5,GLOSSY,0,0,0.0,1.0,16695,13.3,4,128,128,2.94,1.4,1440,2440.0,684.0,390.0,465.61
234,QUAD-CORE,MICROSOFT,INTEL,INTEL,INTEL IRIS PLUS,CORE I7,GLOSSY,1,0,0.0,1.0,29845,13.5,16,1000,1000,2.84,1.3,2256,8923.0,1888.0,2059.0,2099.0
380,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I3,GLOSSY,1,0,0.0,1.0,14447,15.6,8,0,1000,4.68,2.4,1366,2806.0,888.0,529.01,599.99
478,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,30290,11.6,4,16,16,3.09,1.6,1366,759.0,329.0,164.0,166.99
390,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,20097,15.6,16,128,1128,6.28,2.8,3840,7069.0,10210.0,1199.99,1199.99
278,,HP,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,7418,11.6,2,32,32,2.6,2.0455467196819135,1366,4957.364729458918,10.0,164.99,169.99
36,HEXA-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,26778,15.6,16,512,512,4.41,2.2,1920,10418.0,15156.0,1637.0,1652.6
196,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,1,0,0.0,0.0,10369,11.6,2,32,32,2.6,1.6,1366,672.0,10.0,219.72,219.72
139,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,20102,11.6,4,16,16,2.54,1.6,1366,759.0,329.0,120.94,123.0
371,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,0,0,0.0,0.0,15335,14.0,4,32,32,3.2,1.6,1920,759.0,329.0,299.0,299.0
253,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,31000,15.6,8,256,256,4.68,1.6,1920,6068.0,888.0,766.0,766.0
289,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 615,CORE M3,GLOSSY,1,0,1.0,1.0,26775,12.3,4,32,32,3.06,1.0,2400,2756.0,799.0,499.99,541.99
290,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I7,GLOSSY,0,0,0.0,1.0,20505,15.6,12,0,1000,4.19,2.7,1920,3500.0,888.0,749.99,749.99
59,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 515,CORE M3,GLOSSY,1,0,0.0,1.0,12769,12.5,4,64,64,2.65,0.9,1920,1862.0,688.0,509.97,599.9
111,HEXA-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,23601,15.6,16,256,256,5.95,2.2,1920,10418.0,10210.0,949.99,969.99
89,QUAD-CORE,HP,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,GLOSSY,1,0,0.0,1.0,23203,15.6,8,128,1128,4.49,2.0,1920,6317.0,1509.0,749.0,749.0
268,QUAD-CORE,MICROSOFT,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,GLOSSY,1,1,1.0,1.0,19846,15.0,16,512,512,4.2,1.9,3240,6620.0,10210.0,2054.45,2329.99
6,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,20956,15.6,8,0,2000,4.52,1.6,1366,6372.0,888.0,619.99,628.5
367,,HP,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,7269,13.3,2,32,32,3.42,2.0455467196819135,1366,4957.364729458918,10.0,298.0,298.0
351,HEXA-CORE,RAZER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,28047,15.6,16,512,512,4.63,2.6,1920,11636.0,15156.0,1799.99,1999.99
392,QUAD-CORE,HP,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I5,GLOSSY,0,1,0.0,1.0,23813,15.6,12,128,1128,5.38,2.3,1920,7584.0,6657.0,869.0,899.99
158,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 4000,CORE I5,MATTE,0,0,0.0,1.0,20504,14.0,8,128,128,4.92,2.6,1600,861.0,329.0,186.08,238.0
150,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,8680,14.0,4,32,32,3.42,1.6,1920,759.0,10.0,185.83,214.77
177,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,28486,15.6,12,512,1512,4.85,1.8,1920,6134.0,888.0,828.98,829.0
421,HEXA-CORE,HP,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,24627,17.3,16,128,1128,8.33,2.2,1920,10418.0,10210.0,1549.0,1549.0
184,QUAD-CORE,RCA,INTEL,INTEL,INTEL HD,ATOM,GLOSSY,1,0,1.0,0.0,22374,10.1,2,32,32,4.19792490118577,1.33,1280,522.0,10.0,133.95,133.95
287,QUAD-CORE,LENOVO,INTEL,NVIDIA,NVIDIA QUADRO M1000M,CORE I7,MATTE,0,1,0.0,1.0,11675,15.6,8,0,500,5.6,2.6,1920,6661.0,2939.0,1419.99,1419.99
10,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,23820,15.6,2,16,16,4.3,1.6,1366,759.0,329.0,174.98,185.0
388,DUAL-CORE,SAMSUNG,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,20955,11.6,4,16,16,2.54,1.6,1366,759.0,329.0,99.83,108.97
103,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I7,MATTE,0,1,0.0,1.0,21203,15.6,12,128,1128,5.66,2.8,1920,7069.0,5595.0,1299.0,1299.0
81,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 4000,CORE I5,MATTE,0,0,0.0,1.0,22144,14.0,8,180,180,3.6,1.8,1366,2352.0,329.0,204.99,229.98
38,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 4000,CORE I7,GLOSSY,0,0,0.0,1.0,27584,13.3,8,0,750,4.5,2.9,1280,1302.0,329.0,479.95,529.99
320,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,20284,13.3,8,128,128,2.9,2.5,1920,3522.0,888.0,799.0,799.0
198,QUAD-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX1070,CORE I7,MATTE,0,1,0.0,1.0,11294,15.6,16,256,1256,8.0,2.6,1920,6661.0,3113.8426294820715,1667.81,1677.6
262,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD,CORE M3,MATTE,0,0,0.0,1.0,8282,13.3,8,256,256,2.65,0.9,1920,1862.0,10.0,899.99,999.11
146,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I7,GLOSSY,0,0,0.0,1.0,14058,15.6,16,0,1000,4.83,2.7,1366,3500.0,888.0,799.0,799.0
400,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,29843,17.3,32,500,2500,5.9,2.6,1920,11636.0,15156.0,1429.0,1499.0
147,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,25743,15.6,8,256,256,3.5,1.6,1920,6372.0,888.0,659.0,659.0
312,DUAL-CORE,HP,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,9056,11.6,2,16,16,2.83,2.16,1366,618.0,10.0,178.85,178.85
291,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,1,0,0.0,0.0,8545,11.6,4,0,500,3.0,1.6,1366,672.0,10.0,360.0,360.0
123,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD,CORE I5,GLOSSY,1,0,0.0,1.0,8277,13.3,8,256,256,3.66,2.3,1920,2989.0,10.0,699.99,699.99
375,HEXA-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,27244,17.3,16,256,1256,6.61,2.2,1920,10418.0,10210.0,1999.11,1999.11
96,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,23122,13.3,16,512,512,2.78,1.8,1920,6134.0,888.0,1117.55,1249.95
143,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,14443,14.0,4,16,16,3.3,1.6,1366,759.0,329.0,380.0,380.0
239,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 6000,CORE I5,GLOSSY,0,0,0.0,1.0,25440,13.3,4,128,128,2.96,1.6,1440,2142.0,829.0,449.98,519.99
277,QUAD-CORE,RAZER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1650,CORE I7,MATTE,0,1,0.0,1.0,29634,13.3,16,512,512,3.13,1.3,1920,8923.0,7868.0,1499.99,1799.99
97,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 4000,CORE I5,MATTE,0,0,0.0,1.0,20739,14.0,8,0,320,4.95,2.6,1366,861.0,329.0,209.96,218.0
356,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I3,GLOSSY,0,0,0.0,1.0,24846,15.6,8,0,1000,5.07,2.7,1366,3190.0,888.0,368.0,378.98
122,HEXA-CORE,HP,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2080,CORE I7,MATTE,0,1,0.0,1.0,29630,17.3,16,256,1256,6.54,2.6,1920,11636.0,19317.0,1799.99,1799.99
183,HEXA-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I7,GLOSSY,1,1,0.0,1.0,26367,15.6,16,512,512,4.0,2.2,3840,10418.0,6657.0,1649.53,1799.0
202,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 515,PENTIUM,GLOSSY,1,0,0.0,1.0,19609,11.6,4,128,128,2.36,1.5,1920,1505.0,688.0,575.0,599.0
246,DUAL-CORE,ACER,AMD,AMD,AMD RADEON VEGA 3,RYZEN 3,MATTE,0,0,0.0,1.0,28041,15.6,4,128,128,4.19,2.6,1920,4065.0,904.0,313.38,313.51
311,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,9938,13.3,4,16,16,2.98,1.6,1366,759.0,10.0,229.99,229.99
414,HEXA-CORE,HP,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,23620,15.6,16,128,1128,5.56,2.2,1920,10418.0,10210.0,2499.11,2499.11
357,QUAD-CORE,DELL,INTEL,INTEL,INTEL IRIS PLUS,CORE I5,MATTE,0,0,0.0,1.0,31193,14.0,4,128,128,3.77,1.1,1366,9314.0,1888.0,318.0,328.94
305,QUAD-CORE,HP,AMD,AMD,AMD RADEON R4,A6,GLOSSY,0,0,0.0,0.0,17746,15.6,8,0,500,4.74,2.0,1366,2076.0,346.0,499.0,499.0
403,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD,CORE I5,GLOSSY,1,0,0.0,1.0,6628,13.3,8,256,256,3.2,2.2,1920,2546.0,10.0,642.0,642.0
382,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,31417,15.6,32,1000,1000,5.0,2.6,1920,11636.0,15156.0,1549.0,1549.0
125,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 3000,CORE I5,MATTE,0,0,0.0,1.0,17477,14.0,4,0,320,4.6,2.5,1366,2275.0,258.0,154.99,178.89
